id,favorite
"5078","8"
"8451","7"
"8472","331"
"17670",""
"18290","16"
"29346","7"
"30800","1"
"32412","1"
"32964","3"
"33104",""
"38875","11"
"42833","3"
"50769","2"
"51283","17"
"52256","1"
"52646","9"
"54096","13"
"54889","1"
"54991","58"
"55218","6"
"55296","5"
"59926","1"
"64059","11"
"64208","1"
"72304",""
"78599",""
"86090","3"
"86513","136"
"87371",""
"88311","262"
"90413","4"
"92456","3"
"96945",""
"102425","6"
"103177",""
"104592","8"
"109997","70"
"110123","1"
"111248","10"
"116684","16"
"118599","2"
"127638","0"
"128028","5"
"129677","487"
"135600","3"
"136065",""
"136798","1"
"137392","3"
"141428","1"
"141484","17"
"146839","1"
"149848","13"
"154430","17"
"155220","1"
"155751",""
"164268",""
"167252","1"
"168946","12"
"169334",""
"170115",""
"170606","3"
"171237","11"
"174387",""
"176338","2"
"177804","2"
"178210","5"
"185210","2"
"186106",""
"187655","98"
"190198","1"
"192268",""
"192811",""
"196776","1"
"197357","3"
"201796",""
"204787","1"
"205923","38"
"207819",""
"209927",""
"210296","2"
"214850","0"
"215131","1"
"217547",""
"220077","3"
"223800","7"
"225496","2"
"225838","3"
"229624","2"
"232584","2"
"233217","52"
"234253",""
"234871",""
"234872",""
"239063",""
"239463","1"
"239979","2"
"241282","5"
"243646","41"
"243957","10"
"244152",""
"244882","419"
"249540","2"
"249567","6"
"253673","2"
"254935","6"
"256172","42"
"257015","1"
"258625","5"
"259663",""
"262023","1"
"262531","1"
"262554",""
"270625",""
"273496",""
"273803",""
"281891","2"
"284500","0"
"286750","2"
"286871","3"
"289077","2"
"290405","2"
"291941","2"
"292993","4"
"295566","56"
"295973",""
"301855",""
"303149","16"
"304495",""
"306830","4"
"307047",""
"308501","2"
"310929",""
"317652","4"
"318475","2"
"322607","4"
"323067","3"
"326699","76"
"330207","25"
"330299",""
"331901",""
"332365","322"
"333532","10"
"334776","3"
"339004","13"
"339312","1"
"339603","21"
"340129",""
"340820","2"
"340984","2"
"341290","7"
"351354","3"
"351873",""
"353609",""
"354161",""
"355883","3"
"358772","0"
"367870","2"
"369981","3"
"376519",""
"377901","6"
"379276","3"
"379941","1"
"380895",""
"381042","8"
"384451","3"
"393580","5"
"394214","3"
"406358","1"
"409782","2"
"424210","47"
"426888",""
"430599",""
"434404",""
"436715",""
"436760",""
"437061","41"
"443151","11"
"443487",""
"444248","4"
"444395",""
"449922",""
"450089","2"
"450732",""
"451288","1"
"453908","6"
"454048","164"
"456837",""
"458481",""
"459175",""
"462865","1"
"463832","9"
"464511","1"
"467117","1"
"467150",""
"469733","2"
"470531","1"
"473806","3"
"476640","1"
"477930","2"
"479499","2"
"490881","8"
"496255","1"
"499062",""
"503469","2"
"507591","1"
"511907","5"
"513330","3"
"523001","1"
"526438","1"
"527768","1"
"528858","24"
"530972",""
"537930",""
"539463","1"
"540161","1"
"541219","10"
"543096",""
"547219","1"
"547501",""
"547545",""
"562250",""
"562350","15"
"566996","7"
"570160","12"
"570944",""
"571081","2"
"578313","2"
"578588",""
"579850",""
"583280","2"
"584050","1"
"585891",""
"587357","9"
"587896",""
"591794","2"
"595873","0"
"597188","47"
"604175","1"
"604924","2"
"605498","2"
"606686","2"
"608387","0"
"610080","1"
"610229",""
"611808","1"
"613619","2"
"617782","2"
"618777",""
"619880",""
"619921","1"
"621649","7"
"622978",""
"623159","2"
"623955","2"
"626043",""
"628416","48"
"632167","5"
"633384","9"
"634100",""
"636248","1"
"638621",""
"639935",""
"645509","3"
"646086","25"
"646531","2"
"648307",""
"649141","7"
"650979",""
"651902","3"
"652916","81"
"653304","2"
"659657","1"
"661084","11"
"662677",""
"667147","20"
"667192",""
"674751","3"
"675823",""
