id,score
"657","34"
"3027","21"
"6847","11"
"8318","10"
"14617","228"
"16003","2"
"19956","2"
"20841","5"
"22519","2"
"22880","124"
"23961","3"
"24468","11"
"24723","24"
"28369","5"
"32369","425"
"32991","2"
"34708","14"
"40853","31"
"45093","7"
"46415","2"
"47323","11"
"49455","3"
"51124","5"
"52239","11"
"52830","1"
"53728","65"
"55862","21"
"57800","3"
"68792","8"
"70450","47"
"73947","212"
"75057","44"
"77686","0"
"87365","18"
"95852","1"
"99999","8"
"102496","7"
"108518","32"
"109293","8"
"111576","26"
"117352","4"
"117920","0"
"118463","11"
"120380","11"
"121490","3"
"123159","0"
"131017","7"
"138311","19"
"138432","1"
"139046","3"
"141427","5"
"143632","6"
"144696","17"
"148059","24"
"157938","129"
"162296","0"
"166639","4"
"170844","4"
"172392","5"
"174225","15"
"174348","245"
"177331","1"
"177560","3"
"184328","35"
"186789","1"
"188114","3"
"188835","4"
"194358","2"
"194869","2"
"196150","5"
"197388","8"
"197835","0"
"198071","4"
"198803","2"
"199017","17"
"201863","4"
"202011","709"
"205070","36"
"205468","2"
"205668","2"
"205887","1"
"208007","18"
"210832","2"
"211895","51"
"211941","0"
"212510","62"
"212858","2"
"213380","99"
"215302","4"
"215306","19"
"216324","3"
"223480","31"
"224272","8"
"228138","16"
"232484","0"
"232990","0"
"235759","6"
"239262","11"
"240713","8"
"241040","6"
"242648","2"
"243744","1"
"246822","3"
"248789","1"
"252180","27"
"252974","2"
"254980","3"
"255723","18"
"258721","13"
"259372","0"
"259897","8"
"261202","0"
"262145","3"
"263367","8"
"263818","3"
"265305","-1"
"267451","5"
"267607","8"
"269713","6"
"270453","7"
"273396","29"
"274533","0"
"276177","1"
"277695","3"
"278273","3"
"279693","0"
"281068","2"
"290460","0"
"291102","1"
"291294","5"
"291744","0"
"295156","26"
"295910","1"
"296193","2"
"299826","5"
"303096","4"
"304284","10"
"304658","2"
"306489","2"
"307448","1"
"309497","7"
"310476","1"
"311064","24"
"312254","0"
"315240","5"
"317788","5"
"319508","3"
"327097","8"
"333812","1"
"337663","3"
"340568","10"
"341585","0"
"342378","52"
"343995","7"
"344314","1"
"344774","1"
"347948","8"
"348090","1"
"350177","2"
"350588","2"
"354021","0"
"354323","3"
"355418","0"
"358967","4"
"360520","142"
"362948","2"
"365158","0"
"367180","12"
"372268","6"
"372980","76"
"375524","20"
