id,score
"328","125"
"657","34"
"5611","21"
"17376","6"
"36877","93"
"38875","23"
"52646","20"
"54230","21"
"55218","12"
"55643","10"
"60174","2773"
"64631","10"
"71328","65"
"73947","212"
"76324","2"
"76359","4"
"97984","405"
"102496","7"
"110575","116"
"120977","1"
"127638","0"
"127739","2"
"129677","1137"
"131017","7"
"131902","5"
"132134","7"
"134099","668"
"146839","3"
"148068","17"
"154844","6"
"155751","2"
"159114","1"
"173727","1"
"187736","77"
"199017","17"
"213683","1"
"214431","1"
"216324","3"
"220437","17"
"223800","21"
"232228","11"
"234590","2"
"241953","2"
"243426","1"
"244952","3"
"256172","38"
"258625","9"
"260236","14"
"260664","17"
"278571","2"
"283774","13"
"286938","21"
"297850","5"
"298535","12"
"315132","23"
"322607","9"
"323939","1"
"324726","22"
"334776","10"
"335888","11"
"339180","4"
"339603","37"
"343995","7"
"346826","4"
"347088","4"
"347856","7"
"358772","1"
"368329","8"
"373761","2"
"379387","2"
"394214","7"
"395652","2"
"398537","0"
"401656","1182"
"404027","2"
"410150","0"
"413137","0"
"414034","15"
"419738","0"
"431698","11"
"437962","5"
"443988","6"
"446467","1"
"446986","2"
"451601","0"
"451623","3"
"456546","4"
"457014","4"
"461800","6"
"474698","1"
"477649","8"
"478251","6"
"481743","11"
"487889","3"
"488804","6"
"492340","2"
"493531","1"
"498521","13"
"499062","0"
"523629","12"
"524908","3"
"526438","5"
"534742","20"
"540496","0"
"544239","8"
"546438","36"
"568609","13"
"568657","29"
"568995","15"
"573121","3"
"573307","6"
"577507","0"
"578679","3"
"583592","1"
"585358","3"
"585891","0"
"588803","1"
"598844","1"
"599509","6"
"599535","13"
"602539","29"
"606099","5"
"606179","52"
"608112","1"
"613680","1"
"617471","1"
"619991","3"
"623788","1"
"629695","0"
"633109","5"
"636912","10"
"638057","2"
"639680","5"
"642007","1"
"646195","22"
"647514","7"
"648307","0"
"650101","2"
"651481","0"
"651902","3"
"654688","3"
"655691","4"
"656329","1"
"656373","3"
"659197","39"
"659657","0"
"659950","4"
"660175","0"
"663910","1"
"671042","7"
"674510","1"
"675172","3"
"679756","6"
"681530","1"
"682260","135"
"685855","8"
"690108","6"
"693270","10"
"701580","11"
"703704","0"
"703963","0"
"705636","0"
"713165","2"
"713344","0"
"723791","29"
"723945","3"
"728047","0"
"728324","1"
"729041","3"
"732561","27"
"738500","6"
"738776","0"
"742730","2"
"753081","2"
"756800","5"
"759149","1"
"762221","2"
"768442","20"
"770830","0"
"772011","1"
"772502","2"
"779917","3"
"782785","0"
"789599","1"
"790086","2"
"790232","36"
"792522","1"
"804969","6"
"805686","7"
"812639","1"
"820307","4"
"824822","0"
"826981","7"
"837417","0"
"839172","1"
"847306","7"
"857194","5"
"860895","2"
"860954","62"
"872386","2"
"872570","2"
"885439","1"
"885532","38"
"887100","2"
"897550","3"
"897740","1"
"904344","0"
"905118","2"
"908448","0"
"912668","1"
"922892","0"
"929939","1"
"932793","0"
"942544","1"
"945981","1"
"947618","32"
"953639","32"
"953712","1"
"956993","0"
"960990","0"
"961313","1"
"961830","1"
"964071","38"
"967181","1"
"973194","1"
"979360","1"
"981587","1"
"981828","2"
"983896","0"
"986468","3"
"988926","0"
"991434","5"
"991542","0"
"994371","1"
"995501","1"
"996139","384"
"1007066","2"
"1010518","3"
"1011538","1"
"1017150","2"
"1018829","3"
"1027138","3"
"1030905","1"
"1036704","1"
"1037250","2"
"1039377","1"
"1041509","17"
"1042635","2"
"1044121","0"
"1045245","0"
"1045988","149"
"1047545","5"
"1048726","2"
"1049238","0"
"1053316","0"
"1054928","10"
"1055460","47"
"1057041","1"
"1057986","51"
"1059723","1"
"1066491","0"
"1066702","4"
"1066930","3"
"1082696","1"
"1084814","4"
"1085236","3"
"1088726","2"
"1091022","4"
"1091106","7"
"1091696","4"
"1094137","6"
"1094274","3"
"1099697","1"
"1106625","1"
"1109277","1"
"1116101","1"
"1118654","0"
"1121280","13"
"1122902","3"
"1135398","1"
"1139360","1"
"1139493","1"
"1141040","0"
"1142101","1"
"1145132","12"
"1146396","0"
"1149118","17"
"1150965","2"
"1161751","0"
"1162152","3"
"1162829","7"
"1163074","0"
"1165040","34"
"1166433","1"
"1168983","0"
"1171206","4"
"1171627","1"
"1175091","2"
"1176006","1"
"1181105","53"
"1181259","1"
"1182226","1"
