postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
775,https://api.github.com/repos/android/architecture-components-samples/issues/775,pr,daggerappl daggerappcompatact daggerfrag inject,daggerappl daggerappcompatact daggerfrag inject instanc remov appinjector inject,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla pleas visit sign sign fix issu pleas repli verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info sign thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla pleas visit sign sign fix issu pleas repli verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info sign,4,39,inject|signing|username|authorise,313,0.12460063897763578,0.9612274169921875
445,https://api.github.com/repos/google/styleguide/issues/445,pr,cpplint modifi unsaf thread function list,modifi detect unsaf thread function follow,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info sign googlebot thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla pleas visit sign sign fix issu pleas repli e g sign verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla data verifi email git commit corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain go cla troubleshoot public version email use regist author contributor must email use git commit check exist cla data verifi email git commit email use regist author contributor must attach github account googler go info receiv author thread repli email directli view github mute thread tadaki sakai cla look good thank googler go info,4,27,unsafe|signing|username|authorise,247,0.10931174089068826,0.9368075728416443
20374,https://api.github.com/repos/tensorflow/tensorflow/issues/20374,pr,updat beam search decod py,minor chang exampl,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain go cla troubleshoot go cla troubleshoot public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github sign thu jun pm googlebot wrote thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla pleas visit sign sign fix issu pleas repli e g sign verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla data verifi email git commit corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain go cla troubleshoot public version email use regist author contributor must email use git commit check exist cla data verifi email git commit email use regist author contributor must attach github account receiv author thread repli email directli view github mute thread cla look good thank,4,26,decode|signing|username|authorise,242,0.10743801652892562,0.9310993552207947
1610,https://api.github.com/repos/google/gson/issues/1610,pr,jsonprimit consid lazilyparsednumb integr valu integr comput hashcod,fix bug describ two jsonprimit equal differ hashcod,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info sign found contributor licens agreement sender pull request unabl find agreement commit author co author author mayb use differ email address git commit use sign cla login doubl check author someon els need sign cla well confirm okay contribut googl order pass check pleas resolv problem comment bot comment mean think anyth chang googler go info fix thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info,6,34,integrity|hash|signing|username|authorise|login,274,0.12408759124087591,0.9107030630111694
29518,https://api.github.com/repos/golang/go/issues/29518,pr,crypto sha fix cast nx unmarshalbinari,fix,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github,5,14,crypt|sha|signing|username|authorise,107,0.1308411214953271,0.9061886072158813
5076,https://api.github.com/repos/google/flatbuffers/issues/5076,pr,fix issu write doubl valu bytebuff big endian machin unsaf mode,fix issu write doubl valu bytebuff big endian machin unsaf mode,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github sign cla thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github sign cla look good thank thank welcom thank amaz flat buffer,4,26,unsafe|signing|username|authorise,233,0.11158798283261803,0.8968714475631714
17820,https://api.github.com/repos/tensorflow/tensorflow/issues/17820,pr,add comment exampl prevent resourc leak,issu,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct project maintain email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github sign cla look good thank,4,13,leak|signing|username|authorise,110,0.11818181818181818,0.8955537676811218
3482,https://api.github.com/repos/bumptech/glide/issues/3482,pr,add pipe safe char,resolv,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github sign cla look good thank look pipe allow charact url,4,13,safe|signing|username|authorise,115,0.11304347826086956,0.8883439898490906
3540,https://api.github.com/repos/google/guava/issues/3540,pr,guava consist hash valid bucket,address issu sure whether undocu expect behavior bug bug fix document alert user actual behavior pend bug fix,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github inform sourc googler go info sign cla look good thank googler go info,5,25,hash|validate|signing|username|authorise,238,0.10504201680672269,0.8864910006523132
3808,https://api.github.com/repos/bumptech/glide/issues/3808,pr,annot protect field viewtarget view notnul,kotlin languag code child class viewtarget see nullabl properti,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info issu automat mark stale activ last seven day close activ occur within next seven day thank contribut,4,23,protect|signing|username|authorise,233,0.09871244635193133,0.8861531019210815
