id,score
"328","125"
"1284","24"
"2688","20"
"5611","21"
"11762","40"
"16861","58"
"20227","73"
"23270","4"
"25546","5"
"25999","24"
"31882","8"
"34638","6"
"38838","14"
"39929","6"
"41220","8"
"44391","16"
"47262","8"
"49226","5"
"49473","11"
"54200","15"
"55010","3"
"55556","23"
"59022","6"
"59656","15"
"61057","1"
"64258","3"
"64631","10"
"66870","11"
"76408","5"
"76581","0"
"78380","0"
"80291","2"
"89285","1"
"91304","5"
"92561","5"
"93451","41"
"93771","1"
"96624","10"
"97765","3"
"98026","2"
"102788","12"
"103203","3"
"106001","8"
"111763","10"
"113090","6"
"113526","7"
"119926","4"
"121354","1"
"134988","2"
"135802","23"
"136219","1"
"136837","8"
"137254","8"
"139199","140"
"139483","0"
"141399","2"
"142431","3"
"145540","18"
"146520","0"
"148068","17"
"148964","7"
"149876","7"
"152093","1"
"153461","1"
"154242","1"
"154844","6"
"155400","4"
"159282","2"
"162764","55"
"172486","32"
"172739","0"
"175309","0"
"184319","0"
"185149","-1"
"185211","3"
"185262","36"
"187736","77"
"188491","11"
"195175","0"
"195648","6"
"195717","3"
"196177","0"
"196845","0"
"200545","22"
"204440","2"
"205153","2"
"210069","4"
"210490","3"
"210820","2"
"211001","12"
"211099","3"
"211483","0"
"214431","1"
"216069","0"
"228476","13"
"228577","4"
"232500","15"
"234590","2"
"241953","2"
"243995","2"
"244952","3"
"245600","7"
"247304","272"
"253238","0"
"258299","42"
"258889","3"
"258994","14"
"266255","22"
"266606","7"
"269253","2"
"270010","1"
"272112","0"
"272806","4"
"274560","168"
"278571","2"
"279418","3"
"281970","1"
"284163","0"
"284796","0"
"286938","21"
"287517","63"
"292276","1"
"295628","23"
"297498","1"
"298535","12"
"299475","2"
"300582","3"
"300933","2"
"301948","2"
"302357","1"
"304616","8"
"306668","83"
"306703","1"
"308756","17"
"313730","24"
"321061","2"
"321787","6"
"325587","3"
"331468","2"
"332833","1"
"335888","11"
"336057","71"
"341271","22"
"343078","2"
"343488","1"
"344719","5"
"347238","6"
"348109","296"
"350697","1"
"353698","2"
"353968","6"
"360348","12"
"362401","3"
"365495","4"
"368329","8"
"373071","3"
"374748","-1"
"375390","14"
"380772","0"
"381890","4"
"382386","1"
"388699","7"
"390359","3"
"396164","135"
"396324","2"
"398179","5"
"403174","156"
"403489","4"
"411410","5"
"412184","2"
"412969","1"
"413137","0"
"413626","5"
"413802","15"
"416856","9"
"420843","223"
"421848","0"
"430386","2"
"433558","1"
"433707","5"
"438142","1"
"438704","10"
"439870","193"
"441052","1"
"442862","87"
"442995","2"
"443411","17"
"446501","0"
"448431","1"
"448963","172"
"450160","5"
"451623","3"
"454368","7"
"458647","0"
"465180","5"
"466506","6"
"466672","7"
"466737","42"
"467391","9"
"468288","101"
"471257","2"
"474259","0"
"479233","152"
"479838","0"
"491930","0"
"492340","2"
"497156","4"
"498630","22"
"499418","6"
"511396","6"
"516802","3"
"519781","7"
"523627","25"
"524676","4"
"524778","0"
"524908","3"
"525734","2"
"527360","3"
"527973","5"
"529997","11"
"534664","0"
"535175","2"
"537989","5"
"539812","20"
"541517","4"
"542149","2"
"544433","30"
"547049","1"
"551406","1"
"553485","1"
"557746","5"
"558360","16"
"559600","7"
"564221","17"
"565425","4"
"568924","2"
"571669","0"
"578679","3"
"579130","1"
"581655","2"
"585919","3"
"587301","11"
"588327","8"
"592238","1"
"592523","2"
"593086","3"
"596004","1"
"597788","4"
"600349","4"
"602539","29"
"603271","1"
"604290","2"
"604718","9"
"604978","3"
"605589","0"
"606179","52"
"611471","5"
"616421","1"
"625720","0"
"625768","9"
"627918","4"
"631661","5"
"636947","1"
"637090","3"
"637126","0"
"639125","3"
"641713","0"
"641875","1"
"642515","11"
"642673","14"
"643445","27"
"654758","0"
"663768","1"
"664673","81"
"668958","1"
"669295","2"
"669849","4"
"672506","2"
"674703","1"
"675172","3"
"675380","2"
"682698","5"
"685470","3"
"687059","1"
"690473","0"
"691276","9"
"693786","4"
"694057","3"
"695813","4"
"699379","8"
"701801","10"
"703450","3"
"703856","7"
"704194","10"
"707266","0"
"708965","7"
"709580","3"
"718190","8"
"718611","27"
"726837","60"
"727812","10"
"729041","3"
"733692","52"
"735001","1"
"738776","0"
"740584","2"
"742089","9"
"747394","3"
"747866","4"
"748320","0"
"752890","8"
"759069","4"
"761588","25"
"762221","2"
"763316","0"
"764533","4"
"767010","1"
"769634","0"
"770164","4"
"771315","7"
"773622","1"
"775702","2"
"775924","1"
"777305","0"
"780214","2"
"782785","0"
"785016","21"
"785574","1"
"786093","7"
"786139","2"
"786651","3"
"788834","1"
"795553","4"
"798615","1"
"801458","8"
"802879","9"
"805141","7"
"806739","7"
"807943","3"
"815297","-2"
"815563","2"
"815740","3"
"816882","3"
"820645","0"
"822638","19"
"823184","4"
"824822","0"
"827989","4"
"839479","44"
"847377","3"
"851093","0"
"852187","1"
"852453","20"
"858678","15"
"858773","6"
"861781","2"
"862419","4"
"868078","0"
"868482","6"
"869361","10"
"877317","1"
"877727","3"
"878538","7"
"879017","0"
"883371","12"
"883499","0"
"885540","1"
"887100","2"
"890447","0"
"890907","16"
"895385","0"
"895586","11"
"898148","0"
"898319","6"
"899947","1"
"900115","0"
"901639","54"
"903770","0"
"906910","0"
"908726","0"
"909750","0"
"910465","109"
"915786","2"
"915811","5"
"918004","0"
"921550","12"
"929744","20"
"929746","1"
"932793","0"
"938765","1"
"939159","14"
"942139","12"
"945015","18"
"946141","1"
"948177","1"
"951477","5"
"952847","1"
"958331","0"
"960190","7"
"964324","3"
"965987","3"
"966587","2"
"967181","1"
"967762","1"
"970600","1"
"981226","2"
"982616","0"
"985199","1"
"994232","3"
"994371","1"
"995379","5"
"999328","0"
"1000347","-1"
"1007065","0"
"1008601","2"
"1010518","3"
"1013581","6"
"1015697","3"
"1018292","15"
"1019204","9"
"1020320","36"
"1026483","492"
"1026965","0"
"1028010","59"
"1031772","0"
"1032212","0"
"1035283","9"
"1035342","23"
"1037798","0"
"1040679","1"
"1042904","1"
"1043735","5"
"1045245","0"
"1046234","14"
"1046635","5"
"1047207","1"
"1048537","0"
"1053316","0"
"1055460","47"
"1059603","1"
"1061063","1"
"1063049","1"
"1067864","1"
"1071106","0"
"1074932","2"
"1080468","4"
"1085236","3"
