id,nanswers
"8318","4"
"14617","16"
"16451","5"
"24723","8"
"29357","8"
"33412","9"
"33829","3"
"34638","2"
"49226","6"
"49473","2"
"70170","5"
"72304","4"
"77686","3"
"102425","6"
"103203","4"
"108838","2"
"116415","7"
"119926","5"
"120380","10"
"137212","17"
"159282","2"
"166411","2"
"174131","2"
"178479","30"
"185211","11"
"196845","4"
"205183","3"
"211099","6"
"217511","4"
"232584","3"
"244283","4"
"248562","17"
"256899","3"
"277044","1"
"277100","1"
"290545","2"
"295163","2"
"295628","7"
"302357","3"
"303028","3"
"311243","2"
"313730","5"
"318781","1"
"319634","2"
"320477","2"
"321787","7"
"333812","4"
"348090","4"
"350177","8"
"359620","2"
"360520","11"
"367530","1"
"368792","1"
"377901","3"
"398179","3"
"407990","2"
"429352","10"
"435912","2"
"438508","1"
"442862","6"
"442995","3"
"443151","3"
"453925","2"
"461886","4"
"476576","4"
"476640","2"
"485023","6"
"491109","2"
"494860","4"
"495392","3"
"506939","7"
"510846","3"
"517527","7"
"521101","6"
"525408","3"
"528938","5"
"529997","3"
"530972","1"
"531096","5"
"540738","2"
"543896","4"
"546447","1"
"547219","11"
"552982","2"
"556110","1"
"556670","4"
"557746","8"
"571081","1"
"579224","1"
"581655","3"
"587357","4"
"605589","2"
"612121","3"
"626043","2"
"628416","6"
"636172","3"
"637496","3"
"646224","6"
"656787","3"
"658826","1"
"663890","2"
"668958","1"
"673355","3"
"687787","5"
"699254","3"
"700476","2"
"700529","2"
"706856","1"
"727812","3"
"728531","4"
"729203","1"
"733435","1"
"734887","3"
"738071","2"
"752890","1"
"754205","6"
"759800","1"
"760358","2"
"761588","3"
"762459","3"
"770195","5"
"770635","3"
"785652","5"
"788834","1"
"788844","5"
"789759","1"
"800904","3"
"801458","4"
"804023","4"
"805153","1"
"806131","3"
"806169","3"
"809590","2"
"820334","1"
"824919","3"
"825638","2"
"850497","3"
"851623","7"
"852453","1"
"858036","3"
"861221","1"
"862350","2"
"868078","1"
"877317","3"
"877562","1"
"881661","3"
"886397","2"
"892733","7"
"906210","1"
"914509","1"
"915039","3"
"916061","1"
"919983","1"
"922779","4"
"933483","2"
"935218","3"
"935666","4"
"944679","4"
"948177","3"
"955399","11"
"956639","1"
"976696","4"
"979910","1"
"983964","7"
"984644","2"
"986892","5"
"991703","3"
"992019","9"
"992944","1"
"995035","1"
"1003960","2"
"1004586","3"
"1006674","2"
"1009996","1"
"1011777","3"
"1012792","6"
"1013032","6"
"1018292","7"
"1033947","10"
"1037798","1"
"1037813","1"
"1042904","3"
"1066976","4"
"1067869","3"
"1070420","3"
"1079077","1"
"1089600","3"
"1093817","3"
"1097923","3"
"1100299","1"
"1107007","3"
"1108937","4"
"1109731","1"
"1114685","2"
"1115739","3"
"1126684","2"
"1131733","2"
"1132567","10"
"1159729","3"
"1163319","4"
"1169123","3"
"1170185","1"
"1171103","3"
"1175008","5"
"1184789","2"
"1193220","1"
"1201048","3"
"1203317","2"
"1211333","5"
"1214151","6"
"1229588","2"
"1235556","2"
"1238763","6"
"1240575","3"
"1244607","1"
"1247637","5"
"1265488","5"
"1277276","3"
"1277378","3"
"1280702","7"
"1286837","1"
"1287450","4"
"1291584","6"
"1297625","1"
"1312984","2"
"1321557","3"
"1326770","1"
"1326858","3"
"1329730","2"
"1331257","2"
"1338546","1"
"1339787","1"
"1345691","1"
"1349170","1"
"1349938","1"
"1350432","1"
"1363452","3"
"1372466","1"
"1373407","4"
"1375002","1"
"1376746","3"
"1379434","3"
"1381335","1"
