id,score
"549","5399"
"3486","5"
"16861","58"
"28369","5"
"29175","1"
"38421","21"
"39929","6"
"42115","3"
"46693","4"
"49455","3"
"58621","25"
"69309","2"
"69627","1"
"69979","1"
"70653","6"
"76359","4"
"76408","5"
"90413","19"
"101427","7"
"112768","3"
"114052","3"
"118374","16"
"121123","8"
"123499","7"
"123976","7"
"129629","2"
"132134","7"
"133393","17"
"140439","89"
"143632","6"
"144324","2"
"153329","5"
"157938","129"
"166340","74"
"166508","0"
"172040","37"
"172392","5"
"182258","22"
"187434","1"
"189555","146"
"190461","2"
"196244","3"
"196776","2"
"201505","6"
"209242","14"
"211483","0"
"215498","1"
"230321","7"
"230845","5"
"230994","-1"
"234590","2"
"239194","34"
"243426","1"
"260236","14"
"260327","0"
"265180","0"
"265579","6"
"269713","6"
"273452","118"
"277044","190"
"278651","1"
"282762","3"
"288287","0"
"291874","0"
"292967","0"
"300334","8"
"302936","2"
"304086","3"
"308609","2"
"311389","4"
"318069","3"
"320923","4"
"323245","0"
"324904","2"
"327499","5"
"329956","9"
"341966","2"
"343366","2"
"350299","15"
"352172","5"
"360625","4"
"372383","2"
"372465","0"
"379319","0"
"388800","93"
"393882","12"
"395652","2"
"402936","16"
"410150","0"
"410392","28"
"419563","1"
"426294","3"
"426463","4"
"429352","3"
"429998","2"
"435912","5"
"436220","222"
"447600","2"
"449497","8"
"455220","1"
"457307","5"
"457727","3"
"461800","6"
"463768","3"
"463832","17"
"471800","9"
"474698","1"
"475216","8"
"475928","4"
"477053","3"
"481995","8"
"498630","22"
"502001","1"
"506939","2"
"509449","2"
"513056","17"
"518548","8"
"520266","12"
"525056","6"
"533200","6"
"536328","3"
"540738","2"
"543096","-2"
"544433","30"
"545179","5"
"545294","15"
"550908","1"
"551480","3"
"563805","4"
"568247","3"
"570755","2"
"585358","3"
"590375","0"
"591300","4"
"593952","5"
"595114","12"
"601995","11"
"604792","2"
"606324","2"
"615704","76"
"619620","2"
"623299","8"
"630670","2"
"639051","3"
"639217","8"
"641545","3"
"643355","86"
"650979","2"
"651713","1"
"652851","6"
"654239","1"
"656787","2"
"659737","4"
"660175","0"
"661084","24"
"661185","1"
"661599","43"
"663490","3"
"663890","9"
"675119","0"
"681991","2"
"683568","0"
"688766","6"
"690108","6"
"693826","2"
"696472","51"
"696483","0"
"697134","1"
"708096","2"
"710834","2"
"711018","1"
"717776","2"
"721436","5"
"721446","11"
"723129","3"
"723653","63"
"723856","6"
"724195","0"
"728143","73"
"728164","44"
"728531","6"
"729130","0"
"734887","0"
"740679","1"
"745083","2"
"748622","41"
"749682","31"
"754118","0"
"764565","3"
"767978","2"
"768677","5"
"778382","83"
"781312","2"
"784848","1"
"793761","82"
"798413","6"
"802459","2"
"804155","2"
"804969","6"
"806131","39"
"808748","1"
"811670","4"
"823746","19"
"826323","1"
"834932","0"
"835124","2"
"839280","0"
"848788","9"
"852297","0"
"852332","6"
"855394","6"
"858149","0"
"858232","8"
"861864","13"
"872929","5"
"875771","4"
"876258","0"
"877562","0"
"880188","77"
"881734","15"
"884207","2"
"886893","2"
"886895","2"
"895739","20"
"897020","32"
"897157","8"
"901369","12"
"903650","2"
"909658","13"
"909834","-1"
"914509","1"
"919983","3"
"922805","8"
"923296","26"
"925086","4"
"926137","44"
"929433","0"
"933883","25"
"934171","0"
"938897","0"
"938920","1"
"939040","19"
"941837","0"
"944162","1"
"946170","32"
"949727","18"
"964261","1"
"975785","4"
"976577","101"
"977007","2"
"978350","24"
"980720","3"
"982226","5"
"982260","9"
"982682","20"
"983896","0"
"986403","8"
"990459","0"
"992408","4"
"994965","2"
"1001744","7"
"1002627","1"
"1003960","0"
"1006674","7"
"1007066","2"
"1014593","11"
"1019707","16"
"1021909","0"
"1027693","1"
"1031588","0"
"1040465","1"
"1040724","3"
"1043382","2"
"1043735","5"
"1048439","2"
"1048722","5"
"1050729","5"
"1056190","2"
"1057768","3"
"1057871","1"
"1058071","2"
"1061134","2"
"1063014","1"
"1064203","2"
"1066976","0"
"1070835","0"
"1072497","1"
"1078397","4"
"1079131","6"
"1084410","0"
"1087227","85"
"1090615","1"
"1091106","7"
"1093532","7"
"1095250","4"
"1096400","5"
"1103104","1"
"1103262","1"
"1105818","1"
"1111517","1"
"1113405","0"
"1115832","1"
"1126684","8"
"1128789","0"
"1130296","11"
"1130687","1"
"1130909","4"
"1132766","1"
"1134565","1"
"1137874","32"
"1139021","2"
"1139622","4"
"1141542","1"
"1147193","1"
"1149932","2"
"1160924","8"
"1163985","1"
"1169717","0"
"1170738","8"
"1177285","0"
"1178789","1"
"1182584","35"
"1183161","3"
"1186251","1"
"1191822","4"
"1192485","11"
"1193578","1"
"1198080","1"
"1201048","60"
"1202910","4"
"1213224","1"
"1215556","3"
"1215570","2"
"1218093","11"
"1219899","254"
"1239669","3"
"1240851","1"
"1250437","4"
"1255996","4"
"1262331","2"
"1263976","0"
"1275526","3"
"1277276","4"
"1280702","9"
"1283594","15"
"1288959","0"
"1289061","216"
"1299845","1"
"1301980","0"
"1305354","0"
"1306550","54"
"1311697","9"
"1315604","1"
"1315677","10"
"1320671","2"
"1323337","5"
"1325378","4"
"1327690","1"
"1328155","7"
"1329730","2"
"1331792","0"
"1336882","1"
"1338546","2"
"1338972","0"
"1345691","0"
"1350516","2"
"1353128","4"
"1364262","9"
"1364487","0"
"1365254","2"
"1366182","3"
"1372623","5"
"1378463","2"
"1379907","4"
"1387193","1"
"1387867","0"
"1391692","10"
"1392074","1"
"1394616","2"
"1395260","1"
"1396688","3"
"1398740","3"
"1402696","13"
"1404381","2"
"1405637","1"
"1408492","0"
"1412193","9"
"1419800","14"
"1422154","1"
"1423804","33"
"1424205","2"
"1426984","8"
"1427908","1"
"1428341","0"
"1430446","29"
"1432664","26"
"1436383","0"
"1440239","16"
"1441875","0"
"1442017","4"
"1442538","3"
"1442896","-1"
"1443411","0"
"1446285","2"
"1448455","37"
"1450036","2"
"1451067","1"
"1451224","14"
"1453073","109"
"1453909","5"
"1455782","5"
"1456770","1"
"1459080","51"
"1469798","2"
"1469899","413"
"1471037","1"
"1471654","27"
"1481398","6"
"1483595","6"
"1486056","0"
"1487738","1"
"1492878","8"
"1496549","4"
"1499283","3"
"1499832","4"
"1502682","0"
"1513543","0"
"1519074","9"
"1521189","5"
"1528012","6"
"1529128","1"
"1530464","1"
"1530797","0"
"1533259","0"
"1540801","0"
"1543753","6"
"1546717","35"
"1549442","5"
"1551463","6"
"1554745","0"
"1556554","25"
"1558287","1"
"1559892","13"
"1562064","4"
"1562664","0"
"1565035","0"
"1572450","2"
"1573468","7"
"1575516","1"
"1577514","3"
"1580504","1"
"1586602","4"
"1597727","0"
"1606093","5"
"1619117","0"
"1623958","0"
"1629075","0"
"1631406","1"
"1631739","1"
"1646274","18"
