id,nanswers
"17817","4"
"29680","3"
"33104","4"
"38838","13"
"39983","4"
"45097","16"
"49158","4"
"51283","5"
"52344","5"
"52646","5"
"61760","3"
"75980","15"
"81410","4"
"86477","7"
"86513","26"
"95213","8"
"114148","5"
"116682","2"
"119818","4"
"120189","6"
"121490","4"
"128028","5"
"141427","3"
"142573","6"
"153039","5"
"155751","4"
"162159","13"
"184028","3"
"185149","3"
"195509","7"
"198974","3"
"205468","4"
"240362","3"
"268320","3"
"271031","4"
"272342","9"
"278122","5"
"278651","1"
"283774","6"
"286824","3"
"288287","1"
"291665","2"
"292362","4"
"295566","9"
"308501","3"
"316390","4"
"319113","2"
"333532","8"
"334259","2"
"335019","3"
"338563","2"
"339732","1"
"343111","3"
"355043","5"
"381042","7"
"395045","3"
"395592","3"
"399572","2"
"406415","3"
"429005","8"
"433558","6"
"438886","10"
"443430","3"
"447537","4"
"452415","2"
"250932","4"
"223097","10"
"179355","18"
"176255","5"
"454813","2"
"467885","1"
"467897","5"
"468089","2"
"470531","2"
"472552","5"
"475840","7"
"476821","2"
"477053","1"
"479499","2"
"482213","1"
"484261","7"
"491914","2"
"496152","3"
"503469","7"
"505235","3"
"507591","2"
"512825","5"
"514688","5"
"516127","10"
"522064","7"
"526391","3"
"534051","3"
"540496","3"
"553485","2"
"559600","4"
"561039","5"
"572107","2"
"579661","2"
"581730","5"
"593419","3"
"593593","7"
"594443","3"
"595228","5"
"597028","4"
"608453","1"
"615144","2"
"625768","4"
"631671","3"
"633445","7"
"641713","3"
"647696","4"
"651466","2"
"651590","2"
"651713","4"
"651819","5"
"671042","4"
"675392","7"
"681530","5"
"682260","6"
"686455","5"
"688196","9"
"688686","2"
"690730","4"
"691276","3"
"701580","10"
"713600","2"
"718611","1"
"721446","7"
"723886","2"
"724950","7"
"733463","2"
"734561","9"
"739850","6"
"746347","6"
"747641","7"
"754633","2"
"754761","7"
"756800","2"
"768268","12"
"770830","2"
"774627","3"
"779959","3"
"793812","15"
"798785","3"
"801506","2"
"805887","3"
"808748","6"
"808816","10"
"810043","3"
"821375","2"
"824040","4"
"834988","4"
"839983","2"
"841984","3"
"844719","3"
"846797","5"
"856047","3"
"858773","6"
"859306","1"
"860246","3"
"863323","12"
"877727","0"
"877916","9"
"884209","2"
"885909","4"
"897157","5"
"900115","1"
"904442","2"
"906900","19"
"908283","5"
"921486","3"
"923948","2"
"926137","2"
"942518","3"
"945015","9"
"945981","4"
"946170","5"
"948172","3"
"948192","3"
"948507","2"
"957884","4"
"977686","1"
"983977","2"
"991542","5"
"999010","6"
"1000351","4"
"1006674","2"
"1013720","1"
"1020368","7"
"1022112","2"
"1040724","3"
"1043996","1"
"1046722","3"
"1053556","3"
"1058338","1"
"1062254","4"
"1063876","5"
"1068271","4"
"1070835","6"
"1071837","5"
"1081449","2"
"1084410","1"
"1085236","3"
"1085756","6"
"1086801","3"
"1088000","6"
"1091665","2"
