id,nanswers
"657","8"
"6847","14"
"8318","4"
"14350","3"
"14617","16"
"16003","1"
"19956","1"
"20841","5"
"22880","12"
"23988","2"
"24468","4"
"24723","8"
"31865","3"
"32369","34"
"32991","3"
"38779","2"
"40853","4"
"45093","5"
"46415","5"
"47323","6"
"49455","3"
"51124","3"
"52239","2"
"52830","4"
"53728","9"
"55862","5"
"57384","3"
"57800","2"
"64432","5"
"70450","10"
"71328","20"
"75057","15"
"77686","3"
"87365","12"
"95852","5"
"99999","6"
"101337","7"
"108518","9"
"108838","2"
"109293","8"
"111576","27"
"117352","6"
"117920","4"
"118463","7"
"120206","3"
"120380","10"
"120977","3"
"121490","4"
"123159","2"
"138311","2"
"139046","7"
"139053","6"
"141427","3"
"143632","3"
"144696","3"
"147491","2"
"148059","7"
"157938","21"
"162296","1"
"166411","2"
"166639","9"
"177331","2"
"183656","12"
"184328","11"
"188114","3"
"188835","3"
"196150","4"
"197268","3"
"197388","7"
"197835","2"
"198071","3"
"198803","3"
"199017","4"
"201863","4"
"202011","29"
"205070","5"
"205468","4"
"205668","2"
"210832","5"
"211385","4"
"211941","2"
"212510","12"
"212858","2"
"213380","10"
"215302","5"
"215306","8"
"216324","3"
"223480","4"
"226316","4"
"228138","5"
"232484","2"
"232990","7"
"235759","2"
"241040","3"
"242648","3"
"246822","6"
"248789","2"
"252180","3"
"254980","2"
"255723","4"
"258721","2"
"259372","1"
"261202","3"
"262145","15"
"263367","7"
"263818","7"
"265305","3"
"267451","2"
"267607","9"
"269713","2"
"270453","3"
"273165","2"
"273396","5"
"276132","3"
"276177","2"
"277695","1"
"278273","13"
"279693","2"
"281843","2"
"290460","1"
"291102","3"
"291744","2"
"295156","7"
"295910","6"
"296193","3"
"297136","4"
"299826","3"
"303096","3"
"304658","3"
"306489","1"
"307448","7"
"309497","3"
"310476","3"
"312254","2"
"315240","2"
"317175","5"
"317788","9"
"319508","5"
"327097","3"
"333812","4"
"337663","2"
"340568","5"
"341585","2"
"342378","5"
"343995","5"
"344314","2"
"344774","3"
"347056","4"
"347948","16"
"348090","4"
"350588","1"
"353799","1"
"354323","2"
"355632","3"
"360520","11"
"362948","2"
"365158","3"
"367180","1"
"372980","5"
"373761","3"
"375524","6"
"380336","5"
"384489","9"
"384725","1"
"386047","5"
"387104","7"
"390677","1"
"390908","1"
"395045","3"
"402705","5"
"403394","5"
"404806","11"
"409725","2"
"410253","4"
"413677","5"
"421458","4"
"422903","6"
"426294","1"
"427598","2"
"432753","2"
"434776","3"
"435408","2"
"437962","5"
"442443","7"
"443988","4"
"444698","4"
"454771","3"
"456109","3"
"457471","10"
"460519","5"
"461120","3"
"461886","4"
"465997","6"
"473531","1"
"473687","5"
"475216","5"
"476701","3"
"477649","2"
"478251","10"
"478455","1"
"481098","4"
"481845","2"
"482341","4"
"485866","2"
"487739","2"
"488637","1"
"489119","7"
"491109","2"
"493531","3"
"495392","3"
"498521","5"
"500586","2"
"503666","3"
"507124","1"
"508538","2"
"512174","15"
"519872","3"
"521101","6"
"522778","6"
"523629","3"
