id,nanswers
"328","13"
"1284","8"
"2525","30"
"2688","11"
"5611","6"
"10731","7"
"20227","5"
"23102","13"
"23270","4"
"23713","1"
"25546","11"
"25999","10"
"28965","9"
"31882","8"
"34638","2"
"34896","14"
"36296","4"
"38846","5"
"39772","5"
"39929","2"
"41169","2"
"43992","6"
"49226","6"
"49473","2"
"51094","9"
"55010","5"
"55556","11"
"55572","4"
"59656","13"
"60757","11"
"61057","2"
"64258","2"
"64631","7"
"65734","7"
"66870","5"
"70170","5"
"71756","14"
"72166","12"
"76210","6"
"76408","12"
"76581","2"
"78380","3"
"87431","6"
"89285","4"
"91304","5"
"93771","1"
"96624","13"
"97614","1"
"98026","5"
"99001","3"
"102788","8"
"106001","6"
"110575","6"
"113090","6"
"113423","23"
"116415","7"
"117129","7"
"119926","5"
"121354","1"
"130585","5"
"131902","9"
"134658","2"
"137212","17"
"137254","2"
"138175","3"
"138705","6"
"142431","2"
"142722","6"
"143750","6"
"145540","11"
"148964","5"
"149876","1"
"152093","1"
"153461","3"
"154844","5"
"157924","2"
"158257","3"
"159114","7"
"159282","2"
"162159","13"
"162764","4"
"162915","1"
"172486","5"
"172739","6"
"173329","6"
"173727","5"
"175309","4"
"176195","5"
"178479","30"
"180870","7"
"184265","7"
"185149","3"
"185211","11"
"185262","13"
"187736","10"
"193002","1"
"195175","3"
"195648","11"
"198462","27"
"204440","5"
"210069","2"
"210490","4"
"211099","6"
"211483","3"
"214431","4"
"216069","1"
"220437","12"
"225475","6"
"228476","4"
"228577","4"
"231592","7"
"234590","1"
"239905","7"
"241953","4"
"242976","2"
"244952","7"
"245600","3"
"247110","4"
"247304","10"
"249318","2"
"252156","5"
"253238","3"
"253724","3"
"258299","11"
"258994","6"
"259534","3"
"260664","12"
"266255","21"
"266606","2"
"269253","6"
"271090","7"
"272409","3"
"272503","6"
"272806","3"
"273652","1"
"274560","11"
"276832","8"
"278571","4"
"281970","1"
"284163","5"
"285400","2"
"286938","5"
"287517","16"
"290630","3"
"295436","3"
"295628","7"
"299475","3"
"300933","3"
"301024","2"
"301948","3"
"302279","2"
"302357","3"
"303028","3"
"305044","16"
"306668","9"
"308406","8"
"308980","3"
"313730","5"
"316390","4"
"321061","2"
"321787","7"
"325587","4"
"327512","4"
"329956","8"
"331468","4"
"335677","1"
"335888","5"
"336057","11"
"341271","12"
"342245","1"
"343078","2"
"343488","3"
"346826","3"
"347238","9"
"347945","4"
"348109","16"
"353698","2"
"354472","2"
"356116","1"
"356562","5"
"357491","3"
"362401","2"
"365495","3"
"368329","7"
"372933","7"
"373071","3"
"374748","1"
"375390","16"
"376071","5"
"380772","2"
"382113","5"
"382386","1"
"386374","6"
"388699","5"
"390359","4"
"396164","7"
"398179","3"
"403174","5"
"403489","8"
"407977","4"
"407990","2"
"409807","6"
"411410","4"
"412440","2"
"412969","4"
"413279","2"
"413626","4"
"413802","10"
"416856","3"
"419738","6"
"420843","10"
"420854","8"
"421848","3"
"431698","4"
"433558","6"
"433707","4"
"437146","13"
"439870","14"
"441052","1"
"442862","6"
"444181","6"
"446501","2"
"446551","6"
"448963","14"
"451623","7"
"454497","15"
"457014","5"
"457193","3"
"458647","2"
"461650","5"
"465180","6"
"466672","6"
"466737","9"
"468288","14"
"470382","1"
"481743","11"
"485023","6"
"487332","1"
"487876","2"
"490920","3"
"491930","1"
"493909","1"
"497156","6"
"498234","4"
"498630","7"
"499418","8"
"511396","3"
"516802","3"
"524778","2"
"524908","4"
"527360","2"
"529997","3"
"535175","1"
"536739","3"
"537989","6"
"539812","5"
"541517","6"
"544433","8"
"546513","1"
"547049","1"
"551406","2"
"553485","2"
"553545","1"
"557746","8"
"558308","5"
"558330","3"
"559600","4"
"562833","5"
"563717","2"
"564221","23"
"568924","3"
"571669","2"
"572723","16"
"579130","5"
"581655","3"
"587301","5"
"588327","6"
"588855","4"
"590298","2"
