id,favorite
"2447","1"
"7551","681"
"14656","7"
"18448","1"
"19721",""
"29677","1"
"33086","2"
"33288",""
"33412","37"
"33529","12"
"33829",""
"36877","34"
"47526","1"
"49211","1"
"49663","2"
"50037","1"
"50684","2"
"55643","4"
"59204","3"
"60174","3671"
"64208","1"
"71077","4"
"84847","188"
"93100","1"
"96945",""
"98768","33"
"103184","11"
"110458","2"
"118599","2"
"120131","0"
"130264","6"
"134099","435"
"134148","1"
"142573",""
"143692","1"
"147747",""
"156563","2"
"163900",""
"166023","1"
"168303","1"
"169951","2"
"170689","7"
"172951",""
"173567",""
"176338","2"
"180239",""
"184028",""
"184112","31"
"185210","2"
"188043","4"
"189623","1"
"189925","4"
"195454","2"
"198625","1"
"199459","2"
"199613",""
"211169","3"
"212763","5"
"224453","15"
"224541",""
"225496","2"
"229571","7"
"232231","1"
"233240","1"
"234589","3"
"238404",""
"238728","3"
"242118","2"
"242749",""
"244882","419"
"244903","10"
"245569","3"
"249540","2"
"249567","6"
"253002",""
"254610",""
"256899","1"
"264702",""
"266188","1"
"268682","5"
"274274","21"
"279682",""
"284538","13"
"286871","3"
"287597","2"
"289077","2"
"295163","1"
"295345","1"
"295538","102"
"311243","5"
"317967","2"
"318781","1"
"325323",""
"328023","2"
"332284","1"
"332697","2"
"332794",""
"338579",""
"339004","13"
"340272","2"
"345217","2"
"348128",""
"351873",""
"354644","6"
"358449","2"
"360694","3"
"362461","3"
"367530","2"
"368792","1"
"369248","18"
"372465","1"
"379387",""
"382383","1"
"388800","44"
"390944","2"
"391066","2"
"394836","1"
"395592","38"
"397612","4"
"398463",""
"410085","24"
"421553","4"
"421893","1"
"424373",""
"428478",""
"429005","11"
"429006",""
"431013","9"
"438508",""
"440200","2"
"440568","11"
"440762","3"
"446986",""
"450089","2"
"451167","1"
"451583","1"
"451601",""
"452415","2"
"454391","3"
"461137",""
"467885","1"
"469267","3"
"471732",""
"472724",""
"474785","2"
"476821","2"
"482213",""
"484261","9"
"486000","1"
"487889","3"
"488310",""
"490627","10"
"504272","2"
"509306",""
"509449",""
"509519",""
"514303",""
"518313","3"
"521912","2"
"538894","2"
"540161","1"
"541620",""
"544595",""
"546788","1"
"556670","1"
"559223",""
"567300",""
"569327",""
"570042","7"
"573878","4"
"577507",""
"582684","1"
"583280","2"
"593092",""
"595873","0"
"597188","47"
"600868","3"
"608111",""
"612121","3"
"623536",""
"623788","2"
"623955","2"
"624425","25"
"624898","2"
"626043",""
"630247","1"
"630787",""
"640838","18"
"646224","6"
"650101","2"
"651291","1"
"651590","1"
"652275",""
"654688","1"
"658771",""
"659384","1"
"667177","6"
"679270",""
"681385",""
"681583","13"
"683865","5"
"692767",""
"693288","1"
"700514",""
"701580","6"
"704275",""
"707503","2"
"707587","10"
"709085","26"
"722973","1"
"734611","1"
"741653","6"
"743058",""
"746377",""
"747096","2"
"749631","1"
"754096",""
"754205",""
"759149","1"
"762029","5"
"767276","3"
"767408","1"
"768677","2"
"772596","38"
"778476","0"
"784608","1"
"786656","1"
"787683","1"
"788569","16"
"791551","0"
"791737",""
"793964","1"
"795867",""
"797275","1"
"797445","1"
"797626","1"
"801737",""
"805153","0"
"806169",""
"808536",""
"809137","1"
"812639","1"
"818704","37"
"821815",""
"826981","8"
"828400",""
"829375","9"
"831968","3"
"833835",""
"834918","4"
"839213",""
"841130",""
"843900","1"
"847240",""
"858149",""
"861255",""
"864331","1"
"869072","3"
"869470",""
"872386","1"
"872570","6"
"872877",""
"875983","2"
"882512","2"
"890492",""
"890603","1"
"890889",""
"891227","1"
"892193","7"
"897405","1"
"899190","3"
"900610","1"
"901369","2"
"902438",""
"906091",""
"910006",""
"912419",""
"915178","1"
"916770","0"
"917500","4"
"920751",""
"920954","1"
"921943","1"
"922892",""
"926172","14"
"927816",""
"929351","5"
"929714",""
"934990",""
"940529",""
"941656","1"
"945703",""
"951334","6"
"955632",""
"956894","1"
"957388","22"
"967593",""
"967773","3"
"968666",""
"970262","4"
"970612","1"
"975329",""
"981188",""
"981828","1"
"982027","2"
"990958",""
"991703","3"
"992282","1"
"995035","1"
"1001810",""
"1005256","2"
"1008539","2"
"1012724","10"
"1017659","1"
"1018284","0"
"1025720","1"
"1030905",""
"1031588",""
"1033296","3"
"1036704","0"
"1039200",""
"1040353",""
"1044121",""
"1048726","1"
"1049159",""
"1049238",""
"1050524",""
"1054394","1"
"1069008",""
"1071263","0"
"1073504","1"
"1075258","0"
"1077413",""
"1078156","5"
"1079077",""
"1088144","3"
"1090392",""
"1093181","3"
"1093817","2"
"1094693",""
"1098754","2"
"1099391","4"
"1104565",""
"1107007","2"
"1109675",""
"1111494",""
"1113292",""
"1116350",""
"1118932",""
"1123690",""
"1128368","6"
"1137874","15"
"1147985","1"
"1149118","5"
"1149137","1"
"1152555","12"
"1153216","2"
"1154628",""
"1161294",""
"1163074",""
"1165040","15"
"1167777",""
"1168552",""
"1177337","2"
"1178874",""
"1191112","29"
"1192835",""
"1193761",""
"1195290","1"
"1196217",""
"1199761","2"
"1210824",""
"1211333",""
"1213246","1"
"1216428","2"
"1216593",""
"1216755","1"
"1217302","3"
"1217926","1"
"1219955","1"
"1221785",""
"1222052","1"
"1224021","24"
"1224049","2"
"1224806","2"
"1225378","0"
"1233193","1"
"1234407","1"
"1235027","1"
"1240546",""
"1241018",""
"1241570","5"
"1243572",""
"1247637",""
"1252335","24"
"1252448","1"
"1261330","1"
"1262262","0"
"1262360",""
"1263350","5"
"1266605","3"
"1267672",""
"1267882","18"
"1274211",""
"1277366","1"
"1277412","2"
"1278806",""
"1281544",""
"1283982",""
"1285506",""
"1287180","3"
"1288599","1"
"1301790",""
"1309029",""
"1314521","15"
"1317792",""
"1324294",""
"1326538",""
"1333383","2"
"1333974","0"
"1335413","4"
"1344652",""
"1344657",""
"1347099","4"
"1353128","2"
"1354803","4"
"1362209",""
"1366732",""
"1368528",""
"1372632","0"
