id,score
"2525","160"
"2970","23"
"10731","8"
"21965","17"
"23102","52"
"23713","1"
"28965","17"
"32333","5"
"34896","54"
"36296","4"
"38846","9"
"39772","4"
"41169","4"
"43992","5"
"44799","9"
"51094","259"
"55572","5"
"58679","0"
"60757","5"
"64469","2"
"65734","3"
"65879","37"
"70170","2"
"71756","12"
"72166","45"
"76210","3"
"87431","0"
"97614","6"
"97984","405"
"99001","5"
"107566","19"
"108088","18"
"110575","116"
"113423","35"
"115503","1"
"116415","2"
"117129","9"
"120116","7"
"120189","2"
"121504","3"
"125438","6"
"127363","9"
"130585","1"
"131902","5"
"133549","1"
"134658","5"
"137212","167"
"138175","8"
"138705","6"
"141203","180"
"142722","12"
"143750","15"
"150923","0"
"153416","0"
"157924","16"
"158257","0"
"159114","1"
"162031","6"
"162159","179"
"162915","0"
"173329","17"
"173727","1"
"173875","14"
"176195","4"
"178479","346"
"180870","48"
"181130","2"
"184265","2"
"188266","224"
"193002","1"
"197621","0"
"198462","285"
"206276","2"
"206318","26"
"220437","17"
"225475","3"
"231204","0"
"231592","4"
"232895","0"
"239905","20"
"242976","1"
"244283","5"
"247110","65"
"249318","3"
"252156","13"
"253724","4"
"259534","3"
"260664","17"
"268182","4"
"271090","3"
"272409","3"
"272447","3"
"272503","52"
"273534","3"
"273652","3"
"275824","16"
"276832","13"
"277881","8"
"285400","6"
"290630","1"
"295436","2"
"301024","15"
"301557","5"
"302279","6"
"302893","2"
"303028","7"
"305044","19"
"308406","19"
"308980","0"
"312621","1"
"315171","1"
"316367","4"
"316390","17"
"319634","2"
"320477","2"
"326818","85"
"327512","0"
"329956","9"
"335677","5"
"338563","0"
"341956","1"
"341981","3"
"342245","10"
"344280","0"
"346826","4"
"347945","5"
"349668","238"
"354472","1"
"356116","0"
"356562","27"
"357491","4"
"360838","1"
"365095","1"
"371928","0"
"372933","3"
"376071","0"
"382113","14"
"386374","3"
"407771","3"
"407977","6"
"407990","1"
"409807","10"
"412440","-1"
"413279","2"
"419738","0"
"420854","8"
"425221","6"
"431698","11"
"437146","26"
"438886","2"
"444181","8"
"446551","3"
"454497","17"
"457014","4"
"457193","17"
"459614","4"
"461650","5"
"465910","1"
"470382","2"
"481148","13"
"481743","11"
"483018","3"
"484068","0"
"485023","12"
"487332","0"
"487876","1"
"489552","1"
"490920","11"
"492954","3"
"493909","3"
"494860","2"
"496152","4"
"498234","15"
"503220","1"
"503967","0"
"504167","2"
"505606","0"
"507669","5"
"510170","390"
"514307","0"
"518635","0"
"528405","42"
"533082","2"
"536739","5"
"537103","12"
"537596","17"
"546513","1"
"553545","0"
"557979","2"
"558308","0"
"558330","2"
"562833","0"
"563717","0"
"569870","1"
"569871","1"
"572723","28"
"588803","1"
"588855","2"
"590298","1"
"591300","4"
"595936","8"
"596893","4"
"597142","4"
"597175","1"
"598844","1"
"598949","0"
"603230","0"
"604550","3"
"604634","9"
"608112","1"
"611915","27"
"613233","10"
"613680","1"
"615280","4"
"616662","2"
"617714","0"
"617833","1"
"620438","0"
"621189","1"
"622459","6"
"622646","2"
"624386","4"
"627353","1"
"633109","5"
"636172","5"
"637496","1"
"639034","1"
"641368","4"
"642007","1"
"645135","2"
"651481","0"
"651819","1"
"652818","7"
"656329","1"
"663664","8"
