id,nanswers
"2525","30"
"2970","8"
"5611","6"
"10731","7"
"21965","5"
"23102","13"
"23713","1"
"28965","9"
"32333","9"
"34896","14"
"36296","4"
"38846","5"
"39772","5"
"41169","2"
"43992","6"
"49473","2"
"51094","9"
"55010","5"
"55572","4"
"58679","3"
"59656","13"
"60757","11"
"61057","2"
"64469","3"
"64631","7"
"65734","7"
"65879","7"
"70170","5"
"71756","14"
"72166","12"
"76210","6"
"76581","2"
"87431","6"
"93771","1"
"97614","1"
"97984","16"
"99001","3"
"106001","6"
"107566","10"
"108088","3"
"110575","6"
"113090","6"
"113423","23"
"116415","7"
"117129","7"
"119926","5"
"120116","2"
"121504","3"
"125438","9"
"130585","5"
"131902","9"
"133549","2"
"134658","2"
"137212","17"
"138175","3"
"138705","6"
"141203","11"
"142431","2"
"142722","6"
"143750","6"
"148964","5"
"153416","3"
"154844","5"
"157924","2"
"158257","3"
"159114","7"
"162031","3"
"162159","13"
"162915","1"
"172486","5"
"173329","6"
"173727","5"
"173875","14"
"175309","4"
"176195","5"
"178479","30"
"180870","7"
"181130","5"
"184265","7"
"185149","3"
"187736","10"
"193002","1"
"195648","11"
"196177","3"
"197621","3"
"198462","27"
"204440","5"
"206276","4"
"206318","8"
"210490","4"
"211099","6"
"214431","4"
"220437","12"
"225475","6"
"228577","4"
"231204","3"
"231592","7"
"239905","7"
"241953","4"
"242976","2"
"243995","2"
"244283","4"
"245600","3"
"247110","4"
"247304","10"
"249318","2"
"252156","5"
"253724","3"
"258299","11"
"258889","2"
"258994","6"
"259534","3"
"260664","12"
"268182","5"
"269253","6"
"271090","7"
"272409","3"
"272503","6"
"272806","3"
"273652","1"
"274560","11"
"275824","4"
"276832","8"
"278571","4"
"284163","5"
"285400","2"
"290630","3"
"295436","3"
"295628","7"
"300933","3"
"301024","2"
"301557","9"
"301948","3"
"302279","2"
"302357","3"
"302893","1"
"303028","3"
"305044","16"
"306668","9"
"308406","8"
"308980","3"
"312621","3"
"315171","3"
"316367","7"
"316390","4"
"319634","2"
"320477","2"
"321061","2"
"325587","4"
"326818","5"
"327512","4"
"335677","1"
"335888","5"
"336057","11"
"341271","12"
"341956","1"
"342245","1"
"343078","2"
"346826","3"
"347945","4"
"348109","16"
"354472","2"
"356116","1"
"356562","5"
"357491","3"
"360838","2"
"362401","2"
"365095","2"
"365495","3"
"368329","7"
"371928","1"
"372933","7"
"374748","1"
"376071","5"
"382113","5"
"386374","6"
"390359","4"
"396324","5"
"398179","3"
"403174","5"
"407771","4"
"407977","4"
"407990","2"
"409807","6"
"411410","4"
"412440","2"
"413279","2"
"419738","6"
"420854","8"
"421848","3"
"431698","4"
"437146","13"
"444181","6"
"446551","6"
"448963","14"
"454368","5"
"454497","15"
"457014","5"
"457193","3"
"458647","2"
"459614","4"
"461650","5"
"465180","6"
"466737","9"
"468288","14"
"470382","1"
"481743","11"
"483018","7"
"484068","1"
"485023","6"
"487332","1"
"487876","2"
"489552","1"
"490920","3"
"491930","1"
"493909","1"
"496152","3"
"498234","4"
"503220","3"
"503967","3"
"505606","1"
"511396","3"
"514307","1"
"516802","3"
"518635","3"
"524676","2"
"524778","2"
"524908","4"
"536739","3"
"537103","12"
"537596","6"
"537989","6"
"541517","6"
"546513","1"
"553485","2"
"553545","1"
"557746","8"
"557979","3"
"558308","5"
"558330","3"
"562833","5"
"563717","2"
"564221","23"
"569870","3"
"569871","4"
"572723","16"
"579130","5"
"581655","3"
"587301","5"
"588803","6"
"588855","4"
"590298","2"
"593086","2"
"595936","3"
"596004","1"
"597142","2"
"597175","4"
"598844","3"
"598949","2"
"600349","1"
"603230","4"
"603271","3"
"604550","3"
"604634","6"
"608112","3"
"611915","7"
"613233","11"
"613680","5"
"615280","6"
"616421","2"
"616662","3"
"617714","2"
"617833","3"
"620438","1"
"622459","3"
"625768","4"
"627353","2"
"636172","3"
"636947","1"
"637496","3"
"639034","1"
"641368","5"
"641713","3"
"642007","2"
"645135","5"
"652818","7"
"663664","5"
"665792","1"
"667887","4"
"671010","3"
"674703","1"
"674904","8"
"678873","5"
"683549","3"
"684610","2"
"685298","3"
"687059","4"
"687787","5"
"690780","3"
"691276","3"
"694147","6"
"696476","4"
"696563","4"
"701801","6"
"703308","1"
"704194","6"
"705533","9"
"705596","1"
"707266","5"
"713165","5"
"715969","4"
"718611","1"
"726388","4"
"728108","2"
"729195","2"
"732107","2"
"733692","6"
"739850","6"
"740584","2"
"741824","1"
"745249","2"
"747394","6"
"747866","3"
"747876","1"
"748320","3"
"752859","1"
"752890","1"
"753917","2"
"755309","3"
"755994","4"
"756353","4"
"761588","3"
"763498","3"
"764012","10"
"764533","8"
"764833","2"
"765273","1"
"765840","3"
"768442","3"
"770164","1"
"770195","5"
"775702","3"
"785973","14"
"786093","5"
"786661","5"
"787729","3"
"790086","3"
"793812","15"
"796059","2"
"796383","3"
"797081","1"
"800244","3"
"801871","1"
"805658","1"
"805887","3"
"810043","3"
"815013","6"
"815220","8"
"818398","3"
"818512","6"
"820289","5"
"821443","1"
"821938","1"
"822638","3"
"823184","2"
"824822","2"
"825638","2"
"827989","2"
"830919","6"
"834061","1"
"836961","2"
"839479","9"
"840668","4"
"845623","6"
"846402","5"
"850497","3"
"851623","7"
"852187","2"
"852453","1"
"853620","11"
"853876","4"
"854961","8"
"858476","12"
"861679","3"
"861781","3"
"862042","5"
"862141","1"
"862187","2"
"862419","2"
"864791","5"
"865837","6"
"868776","4"
"876045","2"
"877583","2"
"877727","0"
"877743","1"
"878312","3"
"878538","5"
"879017","1"
"879704","2"
"883371","8"
"884781","3"
"886683","5"
"887100","2"
"887565","4"
"888052","2"
"898148","3"
"899947","3"
"900115","1"
"904442","2"
"906910","1"
"908726","3"
"910465","21"
"910856","5"
"921550","5"
"925703","1"
"925929","5"
"932728","8"
"933483","2"
"937048","2"
"938765","1"
"944511","1"
"944833","3"
"947169","3"
"947618","8"
"948172","3"
"949907","0"
"951386","9"
"951477","2"
"951931","2"
"952019","8"
"953712","3"
"954337","5"
"958331","1"
"960190","2"
"961313","4"
"966587","2"
"978361","1"
"979360","9"
"982616","2"
"982931","1"
"985830","8"
"988642","11"
"994232","3"
"996965","4"
"1003365","3"
"1003736","2"
"1005941","7"
"1007065","4"
"1007191","4"
"1009996","1"
"1010518","2"
"1011055","2"
"1012337","4"
"1013107","3"
"1014042","2"
"1014505","4"
"1018292","7"
"1019217","4"
"1023486","5"
"1023981","10"
