id,favorite
"43199",""
"78869","6"
"84680","39"
"93911","25"
"96945",""
"102778","0"
"123902","0"
"126798","1"
"140113","1"
"143523",""
"150167","29"
"161160",""
"163113","2"
"182133","1"
"183830",""
"190376","2"
"221149",""
"232839",""
"267738","1"
"271031","2"
"271518","1"
"288289","1"
"292362","1"
"295436","4"
"300334","4"
"304268","205"
"308609","4"
"309202",""
"320355","1"
"325637","2"
"338578","4"
"339004","13"
"339531",""
"340820","2"
"346225","4"
"353010",""
"361231","3"
"363329",""
"372268","5"
"373518","5"
"376561","13"
"385907","4"
"390150","81"
"411331","23"
"415953","241"
"427046",""
"430755","5"
"437375","5"
"472739","1"
"473566",""
"480895","2"
"496651","46"
"520255",""
"537596","15"
"545082","4"
"545667","11"
"561938","1"
"565531",""
"567482","4"
"568227","1"
"570450","6"
"580686","1"
"592403","2"
"610896",""
"622732","5"
"683885",""
"684081","8"
"687291","0"
"705728","2"
"719556","3"
"719747",""
"723129",""
"723886","4"
"729195","1"
"759722","3"
"770969",""
"785973","175"
"800172","1"
"808988",""
"810493","32"
"811590",""
"812275",""
"820261","1"
"829522","1"
"834932",""
"836007",""
"836281","1"
"839051","1"
"839213",""
"841446","2"
"842222","1"
"846957",""
"848205","0"
"848734","1"
"851093",""
"853332","3"
"859111","117"
"862571",""
"865460","1"
"867751","8"
"868776","4"
"869255","1"
"874903","5"
"875467","101"
"885005",""
"889406","6"
"890935","27"
"901251",""
"904346","3"
"906402","159"
"908748","29"
"909979",""
"920809","2"
"924968","3"
"925377","5"
"934474",""
"937412","3"
"948933",""
"949190","1"
"950885","2"
"951477","1"
"955624","4"
"956657","3"
"964547",""
"967194",""
"968565","11"
"975054",""
"977321","1"
"995514","97"
"997304",""
"1000347","3"
"1003365",""
"1009766","0"
"1010356","1"
"1012363","6"
"1013720",""
"1016372",""
"1019837",""
"1028388","1"
"1031558",""
"1032721","29"
"1037009","2"
"1037590","11"
"1045895","1"
"1051953","1"
"1057041","4"
"1061171","0"
"1068271","1"
"1069142","0"
"1075128","9"
"1093202","0"
"1105913",""
"1130904","2"
"1139447",""
"1175074",""
"1175352","7"
"1187949","11"
"1199802",""
"1200091","1"
"1202535",""
"1202910","6"
"1205135","98"
"1216213","1"
"1217046",""
"1225633","3"
"1226083","5"
"1227478",""
"1233206","3"
"1234598",""
"1236481",""
"1238628","1"
"1255083",""
"1258404","4"
"1269359","2"
"1269735",""
"1270703","15"
"1283982",""
"1284771","2"
"1291978","2"
"1301297",""
"1303220","2"
"1305243",""
"1315833","1"
"1354803","4"
"1362115",""
"1365187","3"
"1374170","9"
"1376674","2"
"1384968","10"
"1386978","3"
"1391643","4"
"1396375","0"
"1398556","1"
"1400023","1"
"1401248",""
"1405872",""
"1413184","6"
"1418846","3"
"1422977","10"
"1423520","0"
"1423741","0"
"1433336","3"
"1440030","10"
"1441548","1"
"1454021","23"
"1455037","16"
"1455856","4"
"1473604","0"
"1473997",""
"1476963",""
"1488404","2"
"1492043",""
"1492762",""
"1497297","3"
"1497322","2"
"1498108","1"
"1502465",""
"1503241",""
"1508314","3"
"1511674","23"
"1524107","2"
"1531740","1"
"1540007","1"
"1541585","1"
"1552330","4"
"1554970",""
"1555476","1"
"1564446",""
"1572813","6"
"1577081",""
"1580012","8"
"1581759",""
"1582115",""
"1582537",""
"1589164",""
"1589216",""
"1589996","3"
"1593253",""
"1599012",""
"1612191",""
"1613212","8"
"1615871","26"
"1622492",""
"1623924","1"
"1624137","1"
"1626549","27"
"1644059","5"
"1645747","3"
"1647759","6"
"1650596","1"
"1662769","5"
"1665736","3"
"1666052","172"
