id,score
"438","54"
"549","5399"
"3027","21"
"3486","5"
"4004","42"
"13254","23"
"18943","13"
"19471","1"
"22519","2"
"28369","5"
"29175","1"
"29357","2"
"30946","18"
"32333","5"
"34490","158"
"38421","21"
"42115","3"
"46693","4"
"50142","22"
"53511","0"
"55845","6"
"56709","6"
"58621","25"
"61622","4"
"69309","2"
"69627","1"
"72242","38"
"76359","4"
"76408","5"
"87694","4"
"88311","756"
"95297","6"
"96382","8"
"101362","32"
"101427","7"
"102496","7"
"111451","1"
"114052","3"
"117141","5"
"118374","16"
"118910","13"
"121123","8"
"121493","0"
"123976","7"
"129629","2"
"131017","7"
"132113","2"
"132134","7"
"133393","17"
"138432","1"
"144324","2"
"153329","5"
"166340","74"
"166508","0"
"167917","9"
"174131","8"
"174225","15"
"174348","245"
"177560","3"
"182258","22"
"186789","1"
"190461","2"
"190771","24"
"194869","2"
"195509","5"
"196244","3"
"196776","2"
"201505","6"
"205887","1"
"206438","47"
"208007","18"
"209242","14"
"211263","1"
"211895","51"
"215498","1"
"221040","3"
"223395","2"
"224049","12"
"224272","8"
"229596","6"
"230321","7"
"230994","-1"
"232228","11"
"234590","2"
"235759","6"
"237816","12"
"239194","34"
"239262","11"
"240713","8"
"243426","1"
"243744","1"
"247110","65"
"252974","2"
"253545","3"
"253724","4"
"259897","8"
"260236","14"
"260327","0"
"265180","0"
"265579","6"
"273452","118"
"274533","0"
"274659","17"
"275444","8"
"277044","190"
"277100","1"
"278651","1"
"281068","2"
"281618","9"
"282762","3"
"288287","0"
"290236","2"
"291294","5"
"292967","0"
"295825","1"
"297850","5"
"300268","3"
"300334","8"
"302936","2"
"304086","3"
"304284","10"
"307495","8"
"307722","6"
"308609","2"
"311064","24"
"311389","4"
"313859","7"
"318069","3"
"320923","4"
"322262","1"
"323245","0"
"324904","2"
"327499","5"
"334519","44"
"339180","4"
"341966","2"
"343366","2"
"347088","4"
"348589","0"
"350177","2"
"350299","15"
"351627","8"
"352172","5"
"354068","1"
"355418","0"
"357567","1"
"358967","4"
"359342","22"
"360625","4"
"365309","27"
"367079","5"
"369291","1"
"369312","5"
"372268","6"
"372383","2"
"379319","0"
"379445","1"
"386386","0"
"386656","1"
"388985","1"
"392928","13"
"393882","12"
"394673","3"
"395652","2"
"401656","1182"
"402936","16"
"406179","1"
"408431","1"
"410150","0"
"412753","3"
"414034","15"
"415310","2"
"419288","0"
"419563","1"
"421458","7"
"426463","4"
"427821","0"
"429352","3"
"429998","2"
"432291","11"
"435408","0"
"435912","5"
"441777","6"
"442898","2"
"442923","68"
"446467","1"
"447638","11"
"447785","1"
"449497","8"
"449650","3"
"452664","7"
"455220","1"
"455234","2"
"456546","4"
"457239","10"
"457307","5"
"457727","3"
"461800","6"
"463768","3"
"471800","9"
"474698","1"
"476576","0"
"477053","3"
"488804","6"
"494211","6"
"502001","1"
"506939","2"
"513056","17"
"516438","0"
"518548","8"
"520266","12"
"522967","53"
"526576","14"
"528938","4"
"530426","8"
"533200","6"
"536328","3"
"538435","22"
"540738","2"
"544463","37"
"545172","5"
"545179","5"
"545294","15"
"550908","1"
"551480","3"
"552681","4"
"554546","2"
"562250","0"
"563805","4"
"568995","15"
"570755","2"
"585358","3"
"590375","0"
"593952","5"
"595114","12"
"599535","13"
"601300","96"
"601995","11"
"602625","1"
"604210","34"
"604792","2"
"604924","3"
"606324","2"
"613962","68"
"615704","76"
"615954","0"
"623299","8"
"624012","4"
"626303","2"
"630670","2"
"636912","10"
"637311","2"
"637727","3"
"639051","3"
"639217","8"
"639845","0"
"641545","3"
"643355","86"
"651713","1"
"652851","6"
"654239","1"
"655174","1"
"655691","4"
"656787","2"
"659197","39"
"659737","4"
"659970","128"
"660175","0"
"661185","1"
"661426","2"
"661534","1"
"661599","43"
"661819","0"
"663890","9"
"675119","0"
"675380","2"
"681530","1"
"681991","2"
"682306","0"
"683568","0"
"690566","16"
"696472","51"
"696483","0"
"696741","0"
"701078","18"
"701084","6"
"703963","0"
"708096","2"
"710834","2"
"711018","1"
"712339","82"
