id,score
"328","125"
"1284","24"
"2525","160"
"2688","20"
"5611","21"
"10731","8"
"20227","73"
"23102","52"
"23270","4"
"23713","1"
"25546","5"
"25999","24"
"28965","17"
"31882","8"
"34638","6"
"34896","54"
"36296","4"
"38846","9"
"39772","4"
"39929","6"
"41169","4"
"43992","5"
"49226","5"
"49473","11"
"51094","259"
"55010","3"
"55556","23"
"55572","5"
"59656","15"
"60757","5"
"61057","1"
"64258","3"
"64631","10"
"65734","3"
"66870","11"
"70170","2"
"71756","12"
"72166","45"
"76210","3"
"76408","5"
"76581","0"
"78380","0"
"87431","0"
"89285","1"
"91304","5"
"93771","1"
"96624","10"
"97614","6"
"98026","2"
"99001","5"
"102788","12"
"106001","8"
"110575","116"
"113090","6"
"113423","35"
"116415","2"
"117129","9"
"119926","4"
"121354","1"
"130585","1"
"131902","5"
"134658","5"
"137212","167"
"137254","8"
"138175","8"
"138705","6"
"142431","3"
"142722","12"
"143750","15"
"145540","18"
"148964","7"
"149876","7"
"152093","1"
"153461","1"
"154844","6"
"157924","16"
"158257","0"
"159114","1"
"159282","2"
"162159","179"
"162764","55"
"162915","0"
"172486","32"
"172739","0"
"173329","17"
"173727","1"
"175309","0"
"176195","4"
"178479","346"
"180870","48"
"184265","2"
"185149","-1"
"185211","3"
"185262","36"
"187736","77"
"193002","1"
"195175","0"
"195648","6"
"198462","285"
"204440","2"
"210069","4"
"210490","3"
"211099","3"
"211483","0"
"214431","1"
"216069","0"
"220437","17"
"225475","3"
"228476","13"
"228577","4"
"231592","4"
"234590","2"
"239905","20"
"241953","2"
"242976","1"
"244952","3"
"245600","7"
"247110","65"
"247304","272"
"249318","3"
"252156","13"
"253238","0"
"253724","4"
"258299","42"
"258994","14"
"259534","3"
"260664","17"
"266255","22"
"266606","7"
"269253","2"
"271090","3"
"272409","3"
"272503","52"
"272806","4"
"273652","3"
"274560","168"
"276832","13"
"278571","2"
"281970","1"
"284163","0"
"285400","6"
"286938","21"
"287517","63"
"290630","1"
"295436","2"
"295628","23"
"299475","2"
"300933","2"
"301024","15"
"301948","2"
"302279","6"
"302357","1"
"303028","7"
"305044","19"
"306668","83"
"308406","19"
"308980","0"
"313730","24"
"316390","17"
"321061","2"
"321787","6"
"325587","3"
"327512","0"
"329956","9"
"331468","2"
"335677","5"
"335888","11"
"336057","71"
"341271","22"
"342245","10"
"343078","2"
"343488","1"
"346826","4"
"347238","6"
"347945","5"
"348109","296"
"353698","2"
"354472","1"
"356116","0"
"356562","27"
"357491","4"
"362401","3"
"365495","4"
"368329","8"
"372933","3"
"373071","3"
"374748","-1"
"375390","14"
"376071","0"
"380772","0"
"382113","14"
"382386","1"
"386374","3"
"388699","7"
"390359","3"
"396164","135"
"398179","5"
"403174","156"
"403489","4"
"407977","6"
"407990","1"
"409807","10"
"411410","5"
"412440","-1"
"412969","1"
"413279","2"
"413626","5"
"413802","15"
"416856","9"
"419738","0"
"420843","223"
"420854","8"
"421848","0"
"431698","11"
"433558","1"
"433707","5"
"437146","26"
"439870","193"
"441052","1"
"442862","87"
"444181","8"
"446501","0"
"446551","3"
"448963","172"
"451623","3"
"454497","17"
"457014","4"
"457193","17"
"458647","0"
"461650","5"
"465180","5"
"466672","7"
"466737","42"
"468288","101"
"470382","2"
"481743","11"
"485023","12"
"487332","0"
"487876","1"
"490920","11"
"491930","0"
"493909","3"
"497156","4"
"498234","15"
"498630","22"
"499418","6"
"511396","6"
"516802","3"
"524778","0"
"524908","3"
"527360","3"
"529997","11"
"535175","2"
"536739","5"
"537989","5"
"539812","20"
"541517","4"
"544433","30"
"546513","1"
"547049","1"
"551406","1"
"553485","1"
"553545","0"
"557746","5"
"558308","0"
"558330","2"
"559600","7"
"562833","0"
"563717","0"
"564221","17"
"568924","2"
"571669","0"
"572723","28"
"579130","1"
"581655","2"
"587301","11"
"588327","8"
"588855","2"
"590298","1"
"592238","1"
"593086","3"
"595936","8"
"596004","1"
"597142","4"
"600349","4"
"604550","3"
"604718","9"
"604978","3"
"605589","0"
"606179","52"
"611471","5"
"611915","27"
"613233","10"
"613680","1"
"615280","4"
"616421","1"
"616662","2"
"617833","1"
"620438","0"
"622459","6"
"625720","0"
"625768","9"
"627918","4"
"631661","5"
"636172","5"
"636947","1"
"637126","0"
"641713","0"
"641875","1"
"642007","1"
"642673","14"
"643445","27"
"645135","2"
"663664","8"
"665792","1"
"667887","4"
"668958","1"
"669295","2"
"674703","1"
"682698","5"
"683549","3"
"684610","-3"
"685298","8"
"685470","3"
"687059","1"
"687787","14"
"691276","9"
"694057","3"
"694147","12"
"695813","4"
"696476","4"
"696563","19"
"701801","10"
"703308","0"
"704194","10"
"705533","13"
"705596","1"
"707266","0"
"708965","7"
"713165","2"
"715969","3"
"718190","8"
"718611","27"
"721436","5"
"726388","3"
"726837","60"
"728164","44"
"729195","0"
"732107","2"
"733692","52"
"739850","6"
"741824","2"
"745249","1"
"747394","3"
"747866","4"
"747876","0"
"748320","0"
"752859","1"
"752890","8"
"755309","1"
"755994","1"
"756353","0"
"759069","4"
"761588","25"
"762221","2"
"763498","1"
"764012","45"
"764533","4"
"765273","2"
"765840","4"
"767010","1"
"768442","20"
"770164","4"
"773622","1"
"775702","2"
"775924","1"
"782785","0"
"785574","1"
"785973","310"
"786093","7"
"786139","2"
"787729","4"
"788834","1"
"793812","109"
"796059","1"
"796383","0"
"800244","0"
"801458","8"
"805887","4"
"806739","7"
"810043","6"
"815013","2"
"815220","2"
"815297","-2"
"815563","2"
"816882","3"
"818512","14"
"821443","0"
"821938","0"
"822638","19"
"823184","4"
"824822","0"
"825638","2"
"827989","4"
"830919","15"
"834061","4"
"839479","44"
"840668","1"
"846402","6"
"851093","0"
"852187","1"
"852453","20"
"853620","182"
"853876","0"
"854961","7"
"858476","1"
"858773","6"
"861781","2"
"861864","13"
"862042","8"
"862141","1"
"862187","1"
"862419","4"
"868078","0"
"868482","6"
"869361","10"
"876045","4"
"876258","0"
"877317","1"
"877727","3"
"877743","1"
"878312","3"
"878538","7"
"879017","0"
"879704","1"
"883371","12"
"884781","3"
"885540","1"
"887100","2"
"888052","1"
"890907","16"
"895586","11"
"897020","32"
"898148","0"
"898319","6"
"899947","1"
"900115","0"
"901639","54"
"903770","0"
"906910","0"
"908726","0"
"910856","18"
