id,favorite
"2970","1"
"5078","8"
"8451","7"
"8472","331"
"17670",""
"30800","1"
"32333","2"
"32412","1"
"32964","3"
"33104",""
"38875","11"
"42833","3"
"44799",""
"50769","2"
"51283","17"
"54096","13"
"54889","1"
"55218","6"
"55296","5"
"58679",""
"64059","11"
"64469",""
"65879","11"
"72304",""
"78599",""
"86090","3"
"86513","136"
"87371",""
"90413","4"
"92456","3"
"97984","145"
"104592","8"
"107566","4"
"108088","8"
"109997","70"
"110123","1"
"111248","10"
"115503","2"
"116684","16"
"120189","1"
"121504","1"
"125438","5"
"127363","2"
"127638","0"
"128028","5"
"129677","487"
"133549","1"
"136065",""
"136798","1"
"137392","3"
"141203","47"
"141428","1"
"141484","17"
"146839","1"
"149848","13"
"150923",""
"153416",""
"155220","1"
"155751",""
"164268",""
"168946","12"
"170115",""
"170606","3"
"171237","11"
"173875","3"
"174387",""
"177804","2"
"178210","5"
"181130","2"
"186106",""
"187655","98"
"188266","138"
"192268",""
"192811",""
"197357","3"
"197621",""
"201796",""
"205923","38"
"206276",""
"206318","20"
"207819",""
"209927",""
"210296","2"
"215131","1"
"217547",""
"220077","3"
"225838","3"
"229624","2"
"231204",""
"232895",""
"233217","52"
"234253",""
"234871",""
"234872",""
"239063",""
"241282","5"
"244283","4"
"253673","2"
"254935","6"
"257015","1"
"258625","5"
"259663",""
"262023","1"
"262531","1"
"262554",""
"268182","2"
"272447",""
"273496",""
"273534","4"
"273803",""
"275824","7"
"277881","5"
"281891","2"
"290405","2"
"291941","2"
"295566","56"
"295973",""
"301557",""
"301855",""
"302893",""
"303149","16"
"304495",""
"306830","4"
"307047",""
"308501","2"
"310929",""
"315171",""
"316367","1"
"318475","2"
"319634","2"
"320477","1"
"323067","3"
"326699","76"
"330207","25"
"331901",""
"332365","322"
"338563",""
"339312","1"
"339603","21"
"340129",""
"340820","2"
"340984","2"
"341290","7"
"341981","1"
"344280","1"
"349668","44"
"351354","3"
"353609",""
"354161",""
"355883","3"
"358772","0"
"365095",""
"367870","2"
"369981","3"
"371928",""
"376519",""
"377901","6"
"381042","8"
"384451","3"
"393580","5"
"394214","3"
"406358","1"
"407771","1"
"409782","2"
"424210","47"
"425221","2"
"426888",""
"436715",""
"437061","41"
"438886","1"
"443151","11"
"443487",""
"449922",""
"450732",""
"451288","1"
"453908","6"
"454048","164"
"459614",""
"463832","9"
"464511","1"
"465910","1"
"466748","0"
"467150",""
"469733","2"
"473806","3"
"476640","1"
"477930","2"
"479499","2"
"481148","4"
"483018","4"
"484068",""
"489552",""
"494860","1"
"496152",""
"496255","1"
"499062",""
"503469","2"
"504167","0"
"505606",""
"507591","1"
"507669","3"
"510170","221"
"511907","5"
"513330","3"
"526438","1"
"527768","1"
"528405","11"
"528858","24"
"530972",""
"533082",""
"537103","0"
"537596","15"
"537930",""
"543096",""
"547219","1"
"547501",""
"547545",""
"562250",""
"569870","0"
"570944",""
"571081","2"
"578313","2"
"578588",""
"579850",""
"584050","1"
"585891",""
"587357","9"
"587896",""
"588803",""
"591300",""
"591794","2"
"596893",""
"597175",""
"598844","1"
"603230",""
"604175","1"
"604634","3"
"604924","2"
"606686","2"
"608112","2"
"608387","0"
"610229",""
"611808","1"
"617714",""
"617782","2"
"619880",""
"621649","7"
"622646",""
"622978",""
"624386","5"
"628416","48"
"633109","1"
"633384","9"
"634100",""
"636248","1"
"637496","1"
"638621",""
"639935",""
"641368",""
"645509","3"
"646531","2"
"648307",""
"651481",""
"651819",""
"651902","3"
"652818","5"
"652916","81"
"656329",""
"659657","1"
"661084","11"
"662677",""
"667147","20"
"671010",""
"673678",""
"674751","3"
"674904","82"
"678400","3"
"679756","2"
"681231",""
"690780","4"
"693270","2"
"697553","2"
"698700","9"
"698720","1"
"702421","7"
"703704",""
"704831","1"
"707072",""
"708441",""
"709456","1"
"712504","1"
"714704","1"
"715634","2"
"721895",""
"722032","1"
"723791","12"
"725625","1"
"725875","1"
"732561","5"
"733744","2"
"733971",""
"738500","6"
"742719","2"
"742730",""
"746193",""
"749618","1"
"752276","1"
"753719",""
"753917","1"
"756850","5"
"757318","1"
"758823","1"
"759800",""
"761313","7"
"762459","6"
"764564","1"
"764833",""
"770195",""
"770900","4"
"771069","11"
"771466",""
"772502","1"
"772888",""
"774615",""
"778991",""
"781690",""
"782930","1"
"786661","13"
"787471",""
"788459",""
"788808","9"
"790086",""
"792764","10"
"797081",""
"799325","2"
"800543",""
"800922","2"
"801871",""
"804130",""
"805324","7"
"805658",""
"807447","2"
"811670","1"
"815985",""
"816595",""
"817905",""
"818398",""
"819765","0"
"821579","1"
"824688",""
"836459",""
"836961",""
"837935","3"
"839206",""
"840279","3"
"843317",""
"846314",""
"847306",""
"849987",""
"850256",""
"850497","2"
"851623",""
"852418",""
"853266","1"
"853861",""
"856912","4"
"859652",""
"861679",""
"865837",""
"868776","4"
"871388","3"
"876557","1"
"877583",""
"883986",""
"884209","1"
"884927","2"
"885300","5"
"885532","24"
"886683",""
"890396",""
"890938","6"
"894047","0"
"896821",""
"897740",""
"900367","1"
"904442","1"
"905029",""
"905851",""
"906900","3"
"907057","4"
"908448",""
"910208",""
"916061","3"
"916834",""
"917857",""
"922231",""
"923154","2"
"924081","10"
"925703",""
"926956",""
"932728","3"
"933199",""
"935010","2"
"940174",""
"944679","1"
"948041",""
"948507","1"
"949064","1"
"949569","3"
"951931","0"
"954337",""
"957884",""
"959916","3"
"962230","10"
"965500","2"
"970308","2"
"975618",""
"976011","3"
"979910","4"
"982260","3"
"982416",""
"982931",""
"985074",""
"985628","1"
"986244",""
"986468",""
"990705","33"
"991434","1"
"992019","296"
"995178","2"
"995253",""
"995372","1"
"1001073","2"
"1003847",""
"1005941","1"
"1009766","0"
"1009996","3"
"1012337",""
"1013107",""
"1013766","2"
"1013989","1"
"1018763","2"
"1019707","11"
"1019762",""
"1020368","36"
"1021026",""
"1022994",""
"1029118",""
"1029293",""
"1033590",""
"1033947","5"
"1035807","0"
"1037855","2"
"1038307","7"
"1038862",""
"1039377",""
"1041509","6"
"1043621","4"
"1045139",""
"1047243","2"
"1047545",""
"1053556","3"
"1054022","238"
"1056492",""
"1056547","2"
"1057986","14"
"1058961",""
"1062254","2"
"1062642",""
"1062784",""
"1063014","1"
"1066652","1"
"1066930",""
"1067965",""
"1074831","19"
"1077438",""
"1079181",""
"1080014","2"
"1083948","3"
"1086084","2"
"1089329","1"
"1093419",""
"1095745","1"
"1097781",""
"1097923",""
"1099028",""
"1102429",""
"1102781","92"
"1103355","1"
"1103991",""
"1112456",""
"1113383",""
"1113902","7"
"1114685",""
"1115739","1"
"1116110",""
"1116128","1"
"1117645","3"
"1118028","13"
"1122513","1"
"1122902","1"
"1127133",""
"1128441",""
"1131332","1"
"1132054",""
"1132111","5"
"1132652","0"
"1132766",""
"1137707","2"
"1139632",""
"1140487",""
"1142788",""
"1143417","2"
"1145132","8"
"1155553","7"
"1155746",""
"1158097",""
"1162152","1"
"1165979",""
"1171207","2"
"1171474","1"
"1174563",""
"1178789","3"
"1179859","3"
"1181105","23"
"1182226","0"
"1182401","1"
"1182738","0"
"1183007","6"
"1185775",""
"1196228",""
"1198375","4"
"1199886","6"
"1200319","1"
"1200545",""
"1201247","1"
"1205135","98"
"1205263",""
"1209887",""
"1211518",""
"1211592",""
"1212532","12"
"1213965",""
"1214595",""
"1215134",""
"1215930",""
"1216903","1"
"1217170",""
"1219377","3"
"1220092",""
"1224097",""
"1225720",""
"1227580",""
"1229626",""
"1229691","84"
"1230098",""
"1230997","11"
"1231178","12"
"1231955","3"
"1233362","3"
"1234801",""
"1240575","1"
"1242667",""
"1243370","2"
"1243961",""
"1244607","0"
"1246463","2"
"1248105",""
"1249875",""
"1251857",""
"1255864",""
"1256269","1"
"1257287","2"
"1258411","3"
"1258820",""
"1259538","1"
"1261511",""
"1263218","1"
"1264089",""
"1265488","3"
"1267416",""
"1270755",""
"1275532",""
"1276798","6"
"1277378","1"
"1284771","2"
"1285878",""
"1288533","1"
"1291584","3"
"1291634",""
"1294360","2"
"1294407","1"
"1295319",""
"1299876","1"
"1301080","1"
"1301117",""
"1306823","5"
"1307495",""
"1308057","0"
"1308541","3"
"1314591",""
"1314978",""
"1316904","1"
"1319603","6"
"1321042",""
"1321669","1"
"1321821",""
"1323925",""
"1328361",""
"1330612","4"
"1332973",""
"1333577","4"
"1333617","1"
"1340855",""
"1342190","1"
"1343223","12"
"1348670",""
"1349130","1"
"1349397","4"
"1350331",""
"1350432","1"
"1354039","3"
"1356690","0"
"1356899","8"
"1357553",""
"1357846",""
"1358617","1"
"1358710","1"
"1359080","0"
"1363452","1"
"1365254","2"
"1366727","9"
"1366922","1"
"1368164","3"
"1369866","2"
"1370358",""
"1372307","2"
"1374288","2"
"1376746",""
"1381335",""
"1382723",""
"1387135",""
"1387258","7"
"1389670","1"
"1392023",""
"1393436","1"
"1395278","23"
"1396695",""
"1399278",""
"1400708",""
"1406063",""
"1406293","0"
"1406440",""
"1409601","3"
"1416060","5"
"1416092","1"
"1417893","20"
"1422391",""
"1426025","2"
"1427863","2"
"1429332",""
"1429610","1"
"1431486","1"
"1432545","1"
"1436069",""
"1439430",""
"1440030","10"
"1441863","1"
"1441990",""
"1450213",""
"1453649","2"
"1456294",""
"1458283","3"
"1459191",""
"1459739","54"
"1460060","2"
"1462637",""
"1465488",""
"1466709",""
"1469410",""
"1470939","6"
"1472431",""
"1473268","1"
"1479234","3"
"1487749",""
"1489137",""
"1490870",""
"1492627",""
"1493672",""
"1494194","0"
"1495371","1"
"1496021","1"
"1496488",""
"1496767",""
"1500740",""
"1501550","4"
"1503214","0"
"1505529","2"
"1508825","2"
"1511283",""
"1514112",""
"1516528","1"
"1516661","6"
"1519435","2"
"1519605",""
"1524604","79"
"1526069","0"
"1527136","7"
"1533744","7"
"1535326","1"
"1536566",""
"1540491","4"
"1547598",""
"1548075",""
"1552139","1"
"1552534",""
"1554648",""
"1554970",""
"1556683",""
"1558207","5"
"1562064","3"
"1563560","3"
"1566923","2"
"1566934","21"
"1568942",""
"1569436",""
"1569544","2"
"1571999","1"
"1575401","2"
"1579025","1"
"1581136","1"
"1582593",""
"1582738",""
"1583812",""
"1583841",""
"1584159",""
"1584177",""
"1584482",""
"1585261",""
"1588097","1"
"1588294",""
"1588728",""
"1598140",""
"1598236","2"
"1598524","1"
"1599443",""
"1601848","1"
"1608370",""
"1610682",""
"1611365","1"
"1625535",""
"1631624",""
"1633173",""
"1637596","1"
"1638248","2"
"1638971","7"
"1640342","1"
"1642635",""
"1644915","1"
"1645161","90"
"1645282",""
"1647568",""
"1647727",""
"1650854","2"
"1656508",""
"1659470","1"
"1660405",""
"1660845",""
"1662076","1"
"1664255","3"
"1666203",""
"1666559",""
"1667144",""
"1671504",""
"1674821",""
"1675085",""
"1676280",""
"1676845","2"
"1679844",""
"1680190",""
"1681074",""
"1685502","1"
"1687036","1"
"1689450","20"
"1689590",""
"1689685","0"
"1693861","1"
"1694850",""
"1695572","1"
"1700702","3"
"1701437","5"
"1704107","3"
"1708035",""
"1715724","1"
"1715941",""
"1717805",""
"1719376","9"
"1719900","1"
"1725287","1"
"1738504",""
"1739220","3"
"1744218","1"
"1745114","2"
"1747323",""
"1749297",""
"1752621",""
"1753726","2"
"1754004","1"
"1754915",""
"1755757","2"
"1756815","1"
"1757803",""
"1759836","1"
"1760785","9"
"1761365",""
"1761482","3"
"1762084",""
"1763134","2"
"1769279","1"
"1773379","0"
"1774876","2"
"1780628","1"
"1780687","17"
"1780782","3"
"1784578","3"
"1786000","1"
"1786152","2"
"1786697","1"
"1787768",""
"1788075",""
"1793033",""
"1796203",""
"1797335","1"
"1797677","4"
"1800013","5"
"1802036","2"
"1802500","8"
"1809186","1"
"1810172",""
"1812541","7"
"1814803",""
"1818482",""
"1819122","1"
"1821178",""
"1821179",""
"1821545","3"
"1823006","1"
"1824579","1"
"1826044","6"
"1826893","1"
"1837750","1"
"1839038","3"
"1841306",""
"1842365","2"
"1843723","1"
"1845098",""
"1849117",""
"1853357",""
"1855880","1"
"1856570","0"
"1860470","9"
"1863360",""
"1867355",""
"1867589",""
"1868320","2"
"1868371",""
"1869239","0"
"1871714",""
"1873794","4"
"1879207",""
"1886119",""
"1886765",""
"1890565","2"
"1893514",""
"1898439",""
"1901761",""
"1906342",""
"1906622",""
"1909484","1"
"1912202",""
"1913087",""
"1913244","2"
"1914257",""
"1914716","1"
"1914763","0"
"1915985","1"
"1917391","14"
"1917937","1"
"1918542","5"
"1923620",""
"1930108","1"
"1932200",""
"1932493","2"
"1933926",""
"1934682","2"
"1934825","2"
"1936943","1"
"1941669",""
"1941938","1"
"1942199","2"
"1945341",""
"1945881","1"
"1955455","7"
"1959172",""
"1960885",""
"1962299","8"
"1968904",""
"1969398","2"
"1973758",""
"1976709",""
"1980001",""
"1981597","0"
"1983817",""
"1984784","2"
"1984984","1"
"1993131","1"
"1994117",""
"1994776","3"
"1996344","5"
"1996608","2"
"1997786","3"
"1998901",""
"2002929",""
"2002977","2"
"2003262","27"
"2008579",""
"2011259","1"
"2011407",""
"2011505",""
"2017904",""
"2018241",""
"2018910",""
"2019279","6"
"2020216","3"
"2022730","1"
"2023109",""
"2029432",""
"2031527","1"
"2033809","1"
"2034360","3"
"2043548","2"
"2043557","2"
"2043755",""
"2046092","1"
"2051987",""
"2053272",""
"2055300",""
"2058370","2"
"2060984","5"
