id,nanswers
"2525","30"
"2970","8"
"10731","7"
"21965","5"
"23102","13"
"23713","1"
"28965","9"
"32333","9"
"34896","14"
"36296","4"
"38846","5"
"39772","5"
"41169","2"
"43992","6"
"44799","7"
"51094","9"
"55572","4"
"58679","3"
"60757","11"
"64469","3"
"65734","7"
"65879","7"
"70170","5"
"71756","14"
"72166","12"
"76210","6"
"87431","6"
"97614","1"
"97984","16"
"99001","3"
"107566","10"
"108088","3"
"110575","6"
"113423","23"
"115503","2"
"116415","7"
"117129","7"
"120116","2"
"120189","6"
"121504","3"
"125438","9"
"127363","6"
"130585","5"
"131902","9"
"133549","2"
"134658","2"
"137212","17"
"138175","3"
"138705","6"
"141203","11"
"142431","2"
"142722","6"
"143750","6"
"150923","2"
"153416","3"
"157924","2"
"158257","3"
"159114","7"
"162031","3"
"162159","13"
"162915","1"
"173329","6"
"173727","5"
"173875","14"
"176195","5"
"178479","30"
"180870","7"
"181130","5"
"184265","7"
"188266","6"
"193002","1"
"197621","3"
"198462","27"
"206276","4"
"206318","8"
"220437","12"
"225475","6"
"231204","3"
"231592","7"
"232895","2"
"239905","7"
"242976","2"
"244283","4"
"247110","4"
"249318","2"
"252156","5"
"253724","3"
"259534","3"
"260664","12"
"268182","5"
"271090","7"
"272409","3"
"272447","4"
"272503","6"
"273534","4"
"273652","1"
"275824","4"
"276832","8"
"277881","7"
"284163","5"
"285400","2"
"290630","3"
"295436","3"
"301024","2"
"301557","9"
"302279","2"
"302893","1"
"303028","3"
"305044","16"
"308406","8"
"308980","3"
"312621","3"
"315171","3"
"316367","7"
"316390","4"
"319634","2"
"320477","2"
"326818","5"
"327512","4"
"329956","8"
"335677","1"
"338563","2"
"341956","1"
"341981","3"
"342245","1"
"344280","2"
"346826","3"
"347945","4"
"349668","10"
"354472","2"
"356116","1"
"356562","5"
"357491","3"
"360838","2"
"365095","2"
"371928","1"
"372933","7"
"376071","5"
"382113","5"
"386374","6"
"407771","4"
"407977","4"
"407990","2"
"409807","6"
"412440","2"
"413279","2"
"419738","6"
"420854","8"
"425221","1"
"431698","4"
"437146","13"
"438886","10"
"444181","6"
"446551","6"
"454497","15"
"457014","5"
"457193","3"
"459614","4"
"461650","5"
"465910","1"
"470382","1"
"481148","5"
"481743","11"
"483018","7"
"484068","1"
"485023","6"
"487332","1"
"487876","2"
"489552","1"
"490920","3"
"492954","3"
"493909","1"
"494860","4"
"496152","3"
"498234","4"
"503220","3"
"503967","3"
"504167","3"
"505606","1"
"507669","1"
"510170","1"
"514307","1"
"518635","3"
"528405","4"
"533082","2"
"536739","3"
"537103","12"
"537596","6"
"546513","1"
"553545","1"
"557979","3"
"558308","5"
"558330","3"
"562833","5"
"563717","2"
"569870","3"
"569871","4"
"572723","16"
"588803","6"
"588855","4"
"590298","2"
"591300","3"
"595936","3"
"596893","2"
"597142","2"
"597175","4"
"598844","3"
"598949","2"
"603230","4"
"604550","3"
"604634","6"
"608112","3"
"611915","7"
"613233","11"
"613680","5"
"615280","6"
"616662","3"
"617714","2"
"617833","3"
"620438","1"
"621189","2"
"622459","3"
"622646","3"
"624386","1"
"627353","2"
"636172","3"
"637496","3"
"639034","1"
"641368","5"
"642007","2"
"645135","5"
"651481","5"
"651819","5"
"652818","7"
"656329","1"
"663664","5"
"665792","1"
"667887","4"
"671010","3"
"673678","3"
"674703","1"
"674904","8"
"678873","5"
"683549","3"
"684610","2"
"685298","3"
"687787","5"
"690780","3"
"694147","6"
"696476","4"
"696563","4"
"697553","4"
"703308","1"
"703757","3"
"705533","9"
"705596","1"
"713165","5"
"715969","4"
"718611","1"
"721436","3"
"722032","1"
"723791","7"
"724257","2"
"726388","4"
"728108","2"
"728164","8"
"729195","2"
"732107","2"
"733692","6"
"733744","4"
"739850","6"
"741824","1"
"742719","3"
"745249","2"
"747876","1"
"752859","1"
"752890","1"
"753917","2"
"755309","3"
"755994","4"
"756353","4"
"763498","3"
"764012","10"
"764833","2"
"765273","1"
"765840","3"
"768442","3"
"770195","5"
"785973","14"
"786661","5"
"787729","3"
"790086","3"
"793812","15"
"796059","2"
"796383","3"
"797081","1"
"800244","3"
"800543","1"
"800922","5"
"801871","1"
"805658","1"
"805887","3"
"810043","3"
"811670","5"
"815013","6"
"815220","8"
"816595","4"
"818398","3"
"818512","6"
"820289","5"
"821443","1"
"821938","1"
"825638","2"
"830919","6"
"834061","1"
"834694","1"
"836961","2"
"837935","5"
"839206","2"
"840668","4"
"845623","6"
"846402","5"
"850497","3"
"851623","7"
"852418","5"
"852453","1"
"853620","11"
"853876","4"
"854961","8"
"858476","12"
"861679","3"
"861864","13"
"862042","5"
"862141","1"
"862187","2"
"864791","5"
"865837","6"
"868776","4"
"876045","2"
"876258","2"
"877583","2"
"877743","1"
"878312","3"
"879704","2"
"884781","3"
"886683","5"
"887565","4"
"888052","2"
"897020","9"
"904442","2"
"907057","5"
"910856","5"
"925703","1"
"925929","5"
"932728","8"
"933483","2"
"937048","2"
"944511","1"
"944833","3"
"947169","3"
"947618","8"
"948172","3"
"949907","0"
"951386","9"
"951931","2"
"952019","8"
"953712","3"
"954337","5"
"954416","8"
"961313","4"
"966587","2"
"978361","1"
"979360","9"
"982931","1"
"984525","2"
"985830","8"
"986244","2"
"988642","11"
"995178","3"
"995253","3"
"996965","4"
"1003365","3"
"1003736","2"
"1003847","1"
"1005941","7"
"1007191","4"
"1009766","3"
"1009996","1"
"1011055","2"
"1012337","4"
"1013107","3"
"1013989","2"
"1014042","2"
"1014505","4"
"1019217","4"
"1019762","1"
"1020368","7"
"1021026","2"
"1023486","5"
"1023981","10"
"1026552","1"
"1026828","1"
"1029118","1"
"1033590","2"
"1033947","10"
"1035225","2"
"1036872","1"
"1038862","1"
"1039377","6"
"1041181","2"
"1041509","16"
"1046722","3"
"1047243","4"
"1047545","3"
"1049152","6"
"1053542","3"
"1054022","8"
"1054117","1"
"1055494","4"
"1056492","2"
"1057986","5"
"1058462","2"
"1061765","4"
"1063155","4"
"1066611","3"
"1066898","3"
"1066930","3"
"1079181","1"
"1081025","3"
"1083948","2"
"1085874","8"
"1086049","4"
"1086918","6"
"1089046","10"
"1089329","2"
"1090604","5"
"1099547","3"
"1106163","2"
"1112456","6"
"1113383","2"
"1114249","3"
"1114685","2"
"1115739","3"
"1116271","2"
"1122513","2"
"1125470","4"
"1128504","2"
"1131332","6"
"1132567","10"
"1132652","7"
"1134202","6"
"1139856","6"
"1140581","4"
